GD,SHORT,2010-05-21,57.12,1,96567.18,96567.18,96565.77,96565.77,2010-05-27,59.40,96568.45,96568.45,96565.63,96565.63,-2.28,['GILD']
MA,LONG,2010-10-14,22.84,4014,96516.69,96516.69,96436.00,4843.85,2010-10-28,23.86,101551.84,4802.57,100574.38,100574.38,4098.64,['GOOGL', 'GILD', 'CF']
MA,LONG,2011-01-18,23.40,4083,100568.06,100568.06,100251.38,5032.83,2011-01-19,23.16,100251.38,5032.83,99620.08,99620.08,-945.42,['GOOGL', 'GILD', 'CF']
MA,LONG,2011-02-04,24.36,3885,99629.91,99629.91,99255.18,4990.14,2011-02-10,24.29,99731.66,4986.21,99339.11,99339.11,-286.48,['GOOGL', 'GILD', 'CF']
FDX,SHORT,2011-06-07,85.61,1,99381.84,99381.84,99384.72,99384.72,2011-06-08,84.92,99384.72,99384.72,99384.08,99384.08,0.69,['GOOGL', 'GILD', 'CF']
AMZN,LONG,2011-06-28,202.78,465,99422.29,99422.29,99210.16,5117.41,2011-07-08,214.30,105847.07,5062.97,104726.70,104726.70,5356.80,['GOOGL', 'GILD', 'CF']
WHR,SHORT,2011-08-09,53.88,1,104720.31,104720.31,104688.56,104688.56,2011-08-11,56.79,104718.11,104718.11,104695.07,104695.07,-2.91,['ALL', 'GOOGL', 'GILD', 'CF']
ALL,SHORT,2011-08-09,22.32,1,104720.31,104720.31,104687.32,104687.32,2011-08-24,22.95,104734.08,104734.08,104731.05,104731.05,-0.63,['GOOGL', 'GILD', 'CF']
VRX,SHORT,2011-09-22,35.85,1,104717.89,104717.89,104738.31,104738.31,2011-09-23,36.63,104737.59,104737.59,104732.39,104732.39,-0.78,['UNP', 'GOOGL', 'GILD', 'CF']
UNP,SHORT,2011-09-22,37.52,1,104717.89,104717.89,104737.59,104737.59,2011-09-27,39.60,104723.39,104723.39,104714.13,104714.13,-2.08,['GOOGL', 'GILD', 'CF']
VRX,SHORT,2011-10-04,33.20,1,104766.64,104766.64,104758.94,104758.94,2011-10-06,35.58,104751.85,104751.85,104739.10,104739.10,-2.38,['GOOGL', 'GILD', 'CF']
MA,LONG,2011-12-02,37.77,2632,104639.15,104639.15,103118.97,5233.94,2011-12-05,37.37,103118.97,5233.94,103574.56,103574.56,-1053.41,['GOOGL', 'GILD', 'CF']
NFLX,LONG,2012-01-05,81.17,1211,103526.79,103526.79,101270.67,5238.37,2012-01-11,94.99,121321.40,5271.27,120329.12,115302.27,16736.02,['GOOGL', 'GILD', 'CF', 'FDX']
FDX,LONG,2012-01-11,87.70,57,121321.40,5271.27,116889.88,269.38,2012-01-13,88.12,120405.19,115298.26,120324.30,120324.30,23.83,['GOOGL', 'GILD', 'CF']
URI,LONG,2012-01-19,35.23,3244,120314.67,120314.67,118555.91,6021.55,2012-01-25,33.70,116278.18,6079.50,115411.47,115411.47,-4963.32,['GOOGL', 'GILD', 'CF']
NFLX,LONG,2012-03-22,121.09,904,115341.93,115341.93,113202.78,5870.86,2012-03-23,117.37,113202.78,5870.86,111972.36,111972.36,-3365.89,['GOOGL', 'GILD', 'CF']
UNH,LONG,2012-03-30,56.02,1898,111967.39,111967.39,111935.51,5649.27,2012-04-03,55.94,112253.52,5642.69,111825.83,111825.83,-145.35,['GOOGL', 'GILD', 'CF']
CP,SHORT,2012-06-04,68.37,1,111901.83,111901.83,111894.81,111894.81,2012-06-05,67.76,111894.81,111894.81,111901.52,111901.52,0.61,['GOOGL', 'GILD', 'IWM', 'CF']
IWM,SHORT,2012-06-04,70.35,1,111901.83,111901.83,111894.29,111894.29,2012-06-05,69.81,111894.81,111894.81,111902.80,111902.80,0.54,['GOOGL', 'GILD', 'CF']
AMZN,LONG,2012-08-27,247.07,429,111777.96,111777.96,110436.43,5794.75,2012-08-28,243.03,110436.43,5794.75,110047.42,110047.42,-1731.73,['GOOGL', 'GILD', 'CF']
AMZN,LONG,2012-09-10,259.62,20,110267.10,5510.83,110531.83,323.95,2012-09-11,256.46,110531.83,323.95,111820.46,5462.34,-63.10,['MA', 'GOOGL', 'GILD', 'CF']
MA,LONG,2012-09-07,42.85,2439,110022.25,110022.25,110267.10,5510.83,2012-09-13,43.95,112670.85,5462.58,112651.68,112651.68,2701.37,['GOOGL', 'GILD', 'CF']
UNP,SHORT,2012-11-15,55.84,1,112697.92,112697.92,112702.62,112702.62,2012-11-19,56.71,112701.25,112701.25,112677.26,112677.26,-0.86,['GOOGL', 'GILD', 'CF']
NFLX,LONG,2012-12-13,92.14,1161,112645.35,112645.35,113130.95,5668.79,2012-12-18,94.64,115596.19,5649.49,115525.52,115525.52,2902.50,['GOOGL', 'GILD', 'CF']
GILD,SHORT,2009-02-27,22.92,1,95183.24,95183.24,95184.95,95184.95,2013-02-19,42.61,115444.15,115444.15,115428.00,115428.00,-21.72,['GOOGL', 'GILD', 'CF']
GOOGL,SHORT,2011-05-17,257.71,1,99388.81,99388.81,99375.50,99375.50,2013-05-15,456.69,115350.61,115350.61,115323.52,115323.52,-222.70,['GOOGL', 'CF']
CP,SHORT,2013-06-06,118.69,1,115351.29,115351.29,115343.95,115343.95,2013-06-07,123.85,115343.95,115343.95,115335.61,115335.61,-5.16,['GOOGL', 'CF']
AMZN,LONG,2013-07-09,291.87,375,115326.31,115326.31,115197.90,5874.15,2013-07-16,305.94,120755.32,342.45,120514.30,115075.16,5278.12,['GOOGL', 'CF', 'FDX']
FDX,LONG,2013-07-10,104.17,53,115197.90,5874.15,115388.75,352.66,2013-07-19,106.68,120789.04,115079.28,120740.29,120740.29,132.96,['GOOGL', 'CF']
MA,LONG,2013-09-10,63.68,1801,120742.19,120742.19,121973.97,6052.71,2013-09-16,66.13,124627.45,6053.26,125159.25,125159.25,4417.85,['GOOGL', 'CF']
VRX,LONG,2013-09-18,103.29,1151,125160.06,125160.06,124620.78,6263.45,2013-09-20,105.79,128410.21,6266.09,128027.62,128027.62,2877.50,['GOOGL', 'CF']
VRX,LONG,2013-10-02,108.37,1122,128035.14,128035.14,129638.54,6442.94,2013-10-04,110.87,131440.09,6449.29,130846.42,130846.42,2805.00,['GOOGL', 'CF']
FDX,LONG,2013-10-16,120.76,1029,130841.79,130841.79,132496.70,6571.84,2013-10-28,130.48,141416.08,6500.96,140760.55,140760.55,10001.12,['CF', 'V']
AAPL,LONG,2013-11-27,75.04,1781,140760.92,140760.92,142066.32,7107.89,2013-12-02,77.45,144565.42,7107.85,145042.17,145042.17,4282.16,['CF', 'V']
CVS,LONG,2013-12-19,68.87,2000,145037.46,145037.46,144565.31,7291.15,2013-12-31,69.86,147381.67,7289.22,146971.39,140162.19,1970.90,['VRX', 'CF', 'V']
VRX,LONG,2013-12-31,117.99,58,147381.67,7289.22,147327.21,445.13,2014-01-02,116.90,146971.39,140162.19,146942.68,146942.68,-63.22,['CF', 'V']
NXPI,LONG,2014-04-02,61.99,2270,146937.57,146937.57,145462.27,6220.47,2014-04-04,57.99,146757.18,6221.48,137861.41,137861.41,-9080.00,['CF', 'V']
GILD,SHORT,2014-04-11,63.96,1,137864.85,137864.85,137865.80,137865.80,2014-04-14,68.14,137865.80,137865.80,137861.73,137861.73,-4.18,['CF', 'V']
URI,SHORT,2014-10-02,103.23,1,137853.26,137853.26,137849.79,137849.79,2014-10-03,106.13,137849.79,137849.79,137848.74,137848.74,-2.90,['CF', 'V']
FLT,SHORT,2014-10-08,134.46,1,137848.19,137848.19,137835.03,137835.03,2014-10-15,125.39,137890.67,137890.67,137899.04,137899.04,9.07,['GOOGL', 'CF', 'V']
GOOGL,SHORT,2014-10-08,573.90,1,137848.19,137848.19,137837.77,137837.77,2014-10-16,527.00,137899.04,137899.04,137911.48,137911.48,46.90,['CF', 'V']
