Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
AGN,SHORT,2010-05-10,41.45,625,2010-05-10,43.68,-1393.75,No-Exit,0.0,0.0,2010-05-11,43.05,-1000.00,-1393.75,['GD']
WHR,SHORT,2010-05-21,82.95,315,2010-05-21,85.79,-895.25,No-Exit,0.0,0.0,2010-05-24,87.99,-1589.05,-895.25,['GD']
UNP,LONG,2010-06-16,34.54,459,No-Exit,0.0,0.0,2010-06-21,35.46,420.39,2010-06-22,35.05,234.09,420.39,['GD', 'CP']
CP,LONG,2010-06-15,54.99,470,No-Exit,0.0,0.0,2010-06-21,56.86,879.00,2010-06-22,56.36,643.90,879.00,['GD']
GOOGL,SHORT,2010-08-20,233.53,113,No-Exit,0.0,0.0,2010-08-20,232.53,113.00,2010-09-01,227.49,682.52,113.00,['GD']
AMZN,LONG,2010-09-02,132.80,203,No-Exit,0.0,0.0,2010-09-02,134.80,406.00,2010-09-20,147.82,3049.06,406.00,['MA', 'GOOGL', 'AAPL', 'GD']
AAPL,LONG,2010-09-09,35.85,465,No-Exit,0.0,0.0,2010-09-13,36.12,125.81,2010-09-22,38.24,1111.51,125.81,['MA', 'GOOGL', 'GD']
GOOGL,LONG,2010-09-20,246.25,40,No-Exit,0.0,0.0,2010-09-20,247.25,40.00,2010-09-28,264.11,714.40,40.00,['MA', 'GD']
MA,LONG,2010-09-20,21.14,259,No-Exit,0.0,0.0,2010-09-20,21.34,51.04,2010-10-01,21.99,220.15,51.04,['GD']
GOOGL,LONG,2010-10-18,300.92,58,No-Exit,0.0,0.0,2010-10-18,301.92,58.00,2010-10-22,305.44,262.16,58.00,['CF', 'GD']
CF,LONG,2010-10-11,106.43,266,No-Exit,0.0,0.0,2010-10-11,108.34,507.95,2010-10-22,112.51,1617.28,507.95,['GD']
AMZN,LONG,2010-11-26,178.09,161,No-Exit,0.0,0.0,2010-11-29,180.09,322.00,2010-12-02,176.05,-328.44,322.00,['GD']
V,LONG,2010-12-13,77.97,365,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-12-15,76.02,-711.75,-711.75,['GD']
AAPL,LONG,2011-01-04,44.97,629,No-Exit,0.0,0.0,2011-01-06,45.24,170.18,2011-01-14,46.61,1030.58,170.18,['GD', 'FDX']
GD,SHORT,2010-05-05,66.04,254,No-Exit,0.0,0.0,2010-05-06,64.27,450.22,2011-01-18,65.93,27.94,450.22,['FDX']
FDX,LONG,2011-01-11,92.66,186,No-Exit,0.0,0.0,2011-01-14,94.62,363.66,2011-01-20,91.44,-227.28,363.66,['MA']
MA,LONG,2011-01-18,23.40,930,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-01-20,23.06,-312.84,-312.84,[]
WHR,LONG,2011-01-28,83.40,342,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-01-31,80.47,-1002.06,-1002.06,[]
MA,LONG,2011-02-04,24.36,1156,No-Exit,0.0,0.0,2011-02-04,24.56,228.13,2011-02-09,24.52,189.54,228.13,['V']
FDX,LONG,2011-02-16,94.37,229,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-02-22,92.29,-476.32,-476.32,['V']
V,LONG,2011-02-08,72.06,242,No-Exit,0.0,0.0,2011-02-14,74.00,469.15,2011-02-22,72.21,35.42,469.15,[]
UNP,SHORT,2011-02-24,42.42,661,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-02-25,43.76,-885.74,-885.74,[]
NFLX,LONG,2011-03-24,231.98,120,No-Exit,0.0,0.0,2011-03-28,233.98,240.00,2011-03-31,237.28,636.00,240.00,[]
V,LONG,2011-04-05,73.28,381,No-Exit,0.0,0.0,2011-04-08,75.22,740.13,2011-04-14,74.85,598.17,740.13,[]
GOOGL,SHORT,2011-05-17,257.71,109,2011-05-17,261.18,-377.69,No-Exit,0.0,0.0,2011-05-19,266.37,-942.85,-377.69,[]
MA,SHORT,2011-05-25,26.46,1017,2011-05-25,26.87,-412.91,No-Exit,0.0,0.0,2011-05-26,27.05,-597.42,-412.91,['GD']
GD,SHORT,2011-05-24,64.74,430,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-05-31,66.57,-785.18,-785.18,[]
GD,LONG-SPY-NULL,2011-06-22,67.09,407,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-06-23,65.87,-496.54,0.0,[]
WHR,LONG,2011-07-01,75.30,88,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-07-08,74.89,-35.65,-35.65,['UNP', 'NFLX', 'GOOGL', 'IWM', 'AMZN']
UNP,LONG,2011-06-30,48.37,209,No-Exit,0.0,0.0,2011-07-01,49.30,194.76,2011-07-08,49.04,139.03,194.76,['NFLX', 'GOOGL', 'IWM', 'AMZN']
GOOGL,LONG,2011-07-06,267.06,9,No-Exit,0.0,0.0,2011-07-06,268.06,9.00,2011-07-08,264.44,-23.58,9.00,['NFLX', 'IWM', 'AMZN']
AMZN,LONG,2011-06-28,202.78,133,No-Exit,0.0,0.0,2011-06-29,204.78,266.00,2011-07-12,211.93,1216.95,266.00,['NFLX', 'IWM']
IWM,LONG,2011-06-30,77.80,217,No-Exit,0.0,0.0,2011-07-06,79.69,409.29,2011-07-12,78.40,129.40,409.29,['NFLX']
NFLX,LONG,2011-07-06,291.43,14,No-Exit,0.0,0.0,2011-07-07,293.43,28.00,2011-07-14,290.64,-11.06,28.00,[]
CF,LONG,2011-07-15,145.48,190,2011-07-15,143.63,-351.50,2011-07-15,147.39,363.63,2011-07-26,152.02,1242.60,-351.50,[]
CF,SHORT,2011-08-05,134.98,209,2011-08-05,143.39,-1758.41,2011-08-05,133.07,399.99,2011-08-09,141.02,-1262.36,-1758.41,['AGN', 'NFLX']
NFLX,SHORT,2011-08-02,260.87,104,2011-08-02,265.96,-529.36,2011-08-02,258.87,208.00,2011-08-10,238.43,2333.76,-529.36,['AGN']
AGN,SHORT,2011-07-29,67.00,416,No-Exit,0.0,0.0,2011-08-02,65.00,832.00,2011-08-12,64.10,1206.40,832.00,[]
AMZN,LONG,2011-09-01,216.37,83,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-09-02,208.94,-616.69,-616.69,['AGN']
AGN,LONG,2011-08-31,68.07,426,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-09-06,64.59,-1482.48,-1482.48,[]
GOOGL,SHORT,2011-09-23,258.28,105,2011-09-23,261.73,-362.25,2011-09-23,257.28,105.00,2011-09-26,263.62,-561.23,-362.25,['UNP', 'NFLX', 'VIAB', 'VRX', 'GD']
GD,SHORT,2011-09-22,51.33,222,No-Exit,0.0,0.0,2011-09-23,49.50,406.38,2011-09-27,52.71,-306.82,406.38,['UNP', 'NFLX', 'VIAB', 'VRX']
UNP,SHORT,2011-09-22,37.89,652,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-09-27,40.08,-1430.01,-1430.01,['NFLX', 'VIAB', 'VRX']
VRX,SHORT,2011-09-22,35.85,535,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-09-27,39.71,-2065.10,-2065.10,['NFLX', 'VIAB']
VIAB,SHORT,2011-09-23,38.18,346,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-09-28,39.31,-390.25,-390.25,['NFLX']
NFLX,SHORT,2011-09-16,167.80,168,No-Exit,0.0,0.0,2011-09-16,165.80,336.00,2011-10-03,115.14,8846.88,336.00,[]
AAPL,SHORT,2011-10-05,49.13,606,2011-10-05,50.84,-1036.26,2011-10-05,48.86,163.96,2011-10-06,50.84,-1036.26,-1036.26,[]
NFLX,SHORT,2011-10-26,75.61,388,2011-10-26,78.73,-1210.56,No-Exit,0.0,0.0,2011-10-27,82.18,-2549.16,-1210.56,['VRX']
VRX,LONG,2011-10-27,39.78,713,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-11-01,38.44,-955.42,-955.42,[]
NFLX,SHORT,2011-11-23,69.52,384,2011-11-23,69.81,-111.36,No-Exit,0.0,0.0,2011-11-28,69.81,-111.36,-111.36,['UNP', 'GOOGL', 'IWM', 'V', 'FDX', 'CP']
UNP,SHORT,2011-11-25,44.76,309,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-11-28,45.80,-322.05,-322.05,['GOOGL', 'IWM', 'V', 'FDX', 'CP']
V,SHORT,2011-11-25,86.97,305,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-11-28,89.58,-794.74,-794.74,['GOOGL', 'IWM', 'FDX', 'CP']
GOOGL,SHORT,2011-11-22,288.16,60,2011-11-22,292.18,-241.20,No-Exit,0.0,0.0,2011-11-28,292.18,-241.20,-241.20,['IWM', 'FDX', 'CP']
FDX,SHORT,2011-11-22,77.19,181,No-Exit,0.0,0.0,2011-11-23,75.23,355.53,2011-11-28,77.35,-29.22,355.53,['IWM', 'CP']
CP,SHORT,2011-11-22,54.87,153,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-11-29,55.93,-162.18,-162.18,['IWM']
IWM,SHORT,2011-11-22,66.22,264,No-Exit,0.0,0.0,2011-11-23,64.32,501.35,2011-11-29,66.55,-87.12,501.35,[]
MA,LONG,2011-12-02,37.92,449,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-12-05,37.22,-313.48,-313.48,['V']
