Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,,Strategy,Current-Pos,,,
ISRG,LONG,2014-04-02,504.37,333,No-Exit,0,0,2014-04-02,509.56,1726.61,2014-04-08,484.8,-6516.81,1726.61,1726.61,BB Spread,[],,,
WMB,LONG,2014-06-17,56.76,2876,No-Exit,0,0,2014-06-23,57.33,1628.49,2014-06-26,56.3,-1322.96,1628.49,1628.49,BB Spread,[],,,
SLB,LONG,2014-06-26,113.96,72,No-Exit,0,0,2014-06-26,115.12,82.91,2014-07-02,116.37,173.16,82.91,173.16,BB Spread,['VRTX'],,,
AMZN,LONG,2014-07-14,347.2,467,No-Exit,0,0,2014-07-14,350.75,1659.34,2014-07-22,355.25,3759.35,1659.34,3759.35,BB Spread,[],,,
GILD,LONG,2014-10-27,112.15,1430,No-Exit,0,0,No-Exit,0,0,2014-11-05,106.53,-8036.6,-8036.6,-8036.6,BB Spread,[],,,
AAPL,SHORT,2007-11-12,22.18,4341,2007-11-12,22.36,-775.39,2007-11-12,21.96,970.59,2007-11-13,21.76,1826.07,-775.39,1826.07,BB Spread,[],,,
GOOGL,SHORT,2008-01-07,326.97,136,2008-01-07,326.97,0,2008-01-07,323.7,444.68,2008-01-08,326.5,63.92,444.68,444.68,BB Spread,[],,,
AAPL,SHORT,2008-01-07,24.17,2051,No-Exit,0,0,2008-01-07,23.92,502.88,2008-01-10,24.34,-348.67,502.88,502.88,BB Spread,[],,,
GOOGL,SHORT,2008-03-04,225.47,433,2008-03-04,225.47,0,2008-03-04,223.22,976.31,2008-03-05,222.62,1234.05,976.31,1234.05,BB Spread,[],,,
FCX,SHORT,2008-03-20,34.29,2832,No-Exit,0,0,2008-03-20,33.94,970.99,2008-03-25,37.49,-9072.67,970.99,970.99,BB Spread,[],,,
NUE,SHORT,2008-05-27,57.28,1611,No-Exit,0,0,No-Exit,0,0,2008-05-28,58.48,-1933.2,-1933.2,-1933.2,BB Spread,[],,,
IR,SHORT,2008-06-10,35.58,2409,No-Exit,0,0,2008-06-11,35.22,867.78,2008-06-16,36.36,-1887.89,867.78,867.78,BB Spread,[],,,
AAPL,SHORT,2008-06-23,23.32,3803,No-Exit,0,0,No-Exit,0,0,2008-06-25,23.61,-1087.19,-1087.19,-1087.19,BB Spread,[],,,
GS,SHORT,2008-07-14,147.85,592,2008-07-14,154.36,-3853.92,2008-07-14,146.32,908.38,2008-07-16,154.36,-3853.92,-3853.92,-3853.92,BB Spread,[],,,
GOOGL,SHORT,2008-07-21,240.22,312,2008-07-21,240.22,0,2008-07-21,237.82,749.49,2008-07-22,233.5,2096.64,749.49,2096.64,BB Spread,['WHR'],,,
IBM,SHORT,2008-10-02,96.09,770,2008-10-02,96.09,0,2008-10-02,95.13,739.92,2008-10-03,93.15,2264.52,739.92,2264.52,BB Spread,[],,,
XOM,SHORT,2008-10-10,54.47,1488,No-Exit,0,0,2008-10-10,53.93,810.51,2008-10-13,62.1,-11353.38,810.51,810.51,BB Spread,[],,,
AMGN,SHORT,2009-02-27,46.89,1295,No-Exit,0,0,2009-02-27,46.42,607.28,2009-03-10,43.96,3803.8,607.28,3803.8,BB Spread,[],,,
CRM,SHORT,2009-05-26,8.86,8446,2009-05-26,9.16,-2533.8,No-Exit,0,0,2009-05-27,9.34,-4054.08,-2533.8,-2533.8,BB Spread,['SWK', 'JPM'],,
BA,SHORT,2009-06-24,37.48,1792,No-Exit,0,0,2009-06-24,37.1,675.63,2009-07-09,34.74,4910.37,675.63,4910.37,BB Spread,['SWK'],,,
AAPL,SHORT,2009-12-07,26.12,89,2009-12-07,26.15,-2.83,2009-12-07,25.86,23.28,2009-12-08,25.62,44.85,-2.83,44.85,BB Spread,[],,,
GS,SHORT,2010-01-22,148.95,163,No-Exit,0,0,2010-01-22,147.46,242.79,2010-02-02,144.22,771.09,242.79,771.09,BB Spread,[],,,
JPM,SHORT,2010-01-22,36.03,676,No-Exit,0,0,2010-01-22,35.67,246.7,2010-02-03,36.56,-358.28,246.7,246.7,BB Spread,[],,,
FCX,SHORT,2010-01-22,30.55,776,No-Exit,0,0,2010-01-22,30.25,237.09,2010-02-05,28.47,1616,237.09,1616,BB Spread,[],,,
QCOM,SHORT,2010-01-29,36.43,929,No-Exit,0,0,2010-01-29,36.06,346.42,2010-02-09,34.97,1356.34,346.42,1356.34,BB Spread,[],,,
PNC,SHORT,2010-02-04,47.24,1380,No-Exit,0,0,2010-02-04,46.75,669.81,2010-02-10,46.92,441.6,669.81,669.81,BB Spread,['NFLX'],,,
AAPL,SHORT,2010-05-20,32.62,2338,No-Exit,0,0,2010-05-20,32.29,765.01,2010-05-24,33.45,-1943.71,765.01,765.01,BB Spread,[],,,
FDO,SHORT,2010-07-08,33.68,2196,No-Exit,0,0,2010-07-08,33.34,749.12,2010-07-14,34.46,-1712.88,749.12,749.12,BB Spread,[],,,
NTAP,SHORT,2010-08-13,36.94,1757,2010-08-13,37.44,-880.88,No-Exit,0,0,2010-08-16,37.44,-880.88,-880.88,-880.88,BB Spread,[],,,
AAPL,SHORT,2010-08-16,33.43,1877,No-Exit,0,0,No-Exit,0,0,2010-08-17,33.83,-751.05,-751.05,-751.05,BB Spread,['CMG'],,,
