Period,# of trades,winning trades,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
03/16/2008--03/11/2009,26,10,38.4615384615,23,10,43.4782608696,3,0,0
05/19/2013--05/14/2014,28,11,39.2857142857,18,9,50,10,2,20
01/19/2013--01/14/2014,33,13,39.3939393939,17,8,47.0588235294,16,5,31.25
12/20/2012--12/15/2013,29,12,41.3793103448,16,5,31.25,13,7,53.8461538462
03/25/2012--03/20/2013,12,5,41.6666666667,10,4,40,2,1,50
12/31/2010--12/26/2011,7,3,42.8571428571,6,3,50,1,0,0
03/06/2010--03/01/2011,9,4,44.4444444444,5,4,80,4,0,0
03/31/2011--03/25/2012,27,12,44.4444444444,20,9,45,7,3,42.8571428571
02/18/2013--02/13/2014,29,13,44.8275862069,13,4,30.7692307692,16,9,56.25
10/02/2010--09/27/2011,20,9,45,13,6,46.1538461538,7,3,42.8571428571
03/20/2013--03/15/2014,37,17,45.9459459459,18,9,50,19,8,42.1052631579
08/13/2008--08/08/2009,13,6,46.1538461538,10,6,60,3,0,0
03/01/2011--02/24/2012,26,12,46.1538461538,18,8,44.4444444444,8,4,50
04/24/2012--04/19/2013,13,6,46.1538461538,10,4,40,3,2,66.6666666667
08/22/2012--08/17/2013,30,14,46.6666666667,19,11,57.8947368421,11,3,27.2727272727
07/14/2008--07/09/2009,17,8,47.0588235294,16,8,50,1,0,0
06/29/2011--06/23/2012,17,8,47.0588235294,17,8,47.0588235294,0,0,
10/21/2012--10/16/2013,19,9,47.3684210526,10,6,60,9,3,33.3333333333
02/13/2014--12/30/2014,130,63,48.4615384615,77,42,54.5454545455,53,21,39.6226415094
04/10/2009--04/05/2010,6,3,50,4,2,50,2,1,50
05/10/2009--05/05/2010,6,3,50,4,2,50,2,1,50
06/09/2009--06/04/2010,2,1,50,0,0,2,1,50,
04/05/2010--03/31/2011,6,3,50,4,3,75,2,0,0
08/03/2010--07/29/2011,4,2,50,4,2,50,0,0,
12/10/2014--12/30/2014,6,3,50,5,3,60,1,0,0
11/15/2013--11/10/2014,157,81,51.5923566879,92,53,57.6086956522,65,28,43.0769230769
01/14/2014--12/30/2014,149,77,51.677852349,90,53,58.8888888889,59,24,40.6779661017
07/23/2012--07/18/2013,27,14,51.8518518519,14,9,64.2857142857,13,5,38.4615384615
11/10/2014--12/30/2014,21,11,52.380952381,10,7,70,11,4,36.3636363636
12/15/2013--12/10/2014,162,85,52.4691358025,91,53,58.2417582418,71,32,45.0704225352
08/12/2014--12/30/2014,55,29,52.7272727273,29,15,51.724137931,26,14,53.8461538462
09/21/2012--09/16/2013,32,17,53.125,19,12,63.1578947368,13,5,38.4615384615
08/17/2013--08/12/2014,149,81,54.3624161074,89,58,65.1685393258,60,23,38.3333333333
03/15/2014--12/30/2014,114,62,54.3859649123,74,42,56.7567567568,40,20,50
12/26/2011--12/20/2012,51,28,54.9019607843,37,18,48.6486486486,14,10,71.4285714286
07/13/2014--12/30/2014,63,35,55.5555555556,34,20,58.8235294118,29,15,51.724137931
09/16/2013--09/11/2014,149,83,55.7046979866,98,68,69.387755102,51,15,29.4117647059
02/24/2012--02/18/2013,16,9,56.25,16,9,56.25,0,0,
12/11/2008--12/06/2009,7,4,57.1428571429,4,4,100,3,0,0
01/10/2009--01/05/2010,7,4,57.1428571429,4,4,100,3,0,0
05/24/2012--05/19/2013,28,16,57.1428571429,21,12,57.1428571429,7,4,57.1428571429
04/14/2014--12/30/2014,99,57,57.5757575758,66,39,59.0909090909,33,18,54.5454545455
10/11/2014--12/30/2014,31,18,58.064516129,19,13,68.4210526316,12,5,41.6666666667
10/16/2013--10/11/2014,151,88,58.2781456954,94,64,68.085106383,57,24,42.1052631579
05/30/2011--05/24/2012,12,7,58.3333333333,12,7,58.3333333333,0,0,
06/13/2014--12/30/2014,70,41,58.5714285714,39,25,64.1025641026,31,16,51.6129032258
09/11/2014--12/30/2014,47,28,59.5744680851,31,20,64.5161290323,16,8,50
05/05/2010--04/30/2011,5,3,60,5,3,60,0,0,
06/04/2010--05/30/2011,5,3,60,5,3,60,0,0,
01/30/2011--01/25/2012,15,9,60,11,5,45.4545454545,4,4,100
05/14/2014--12/30/2014,87,53,60.9195402299,55,36,65.4545454545,32,17,53.125
06/18/2013--06/13/2014,150,92,61.3333333333,102,72,70.5882352941,48,20,41.6666666667
07/18/2013--07/13/2014,148,91,61.4864864865,96,69,71.875,52,22,42.3076923077
09/07/2009--09/02/2010,27,17,62.962962963,20,14,70,7,3,42.8571428571
02/04/2010--01/30/2011,11,7,63.6363636364,8,7,87.5,3,0,0
04/15/2008--04/10/2009,14,9,64.2857142857,12,9,75,2,0,0
07/09/2009--07/04/2010,23,15,65.2173913043,16,11,68.75,7,4,57.1428571429
01/05/2010--12/31/2010,18,12,66.6666666667,13,11,84.6153846154,5,1,20
01/25/2012--01/19/2013,33,22,66.6666666667,25,14,56,8,8,100
06/23/2012--06/18/2013,21,14,66.6666666667,14,10,71.4285714286,7,4,57.1428571429
12/06/2009--12/01/2010,23,16,69.5652173913,17,13,76.4705882353,6,3,50
10/07/2009--10/02/2010,17,12,70.5882352941,13,9,69.2307692308,4,3,75
07/04/2010--06/29/2011,14,10,71.4285714286,10,6,60,4,4,100
12/01/2010--11/26/2011,11,8,72.7272727273,5,5,100,6,3,50
11/06/2009--11/01/2010,15,11,73.3333333333,11,8,72.7272727273,4,3,75
