Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
AMZN,SHORT,2011-09-30,218.19,533,No-Exit,0.0,0.0,2011-10-05,219.13,-501.02,-501.02,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2011-09-30,55.24,2125,No-Exit,0.0,0.0,2011-10-06,54.04,2550.00,2550.00,BB 20 SMA Xover Mtm,[]
PCLN,LONG,2011-10-24,500.41,236,No-Exit,0.0,0.0,2011-11-01,492.08,-1965.88,-1965.88,BB 20 SMA Xover Mtm,['CMG']
CMG,LONG,2011-10-24,336.82,351,No-Exit,0.0,0.0,2011-11-21,304.83,-11228.49,-11228.49,BB 20 SMA Xover Mtm,['PCLN', 'CRM']
PCLN,SHORT,2011-11-18,508.27,120,No-Exit,0.0,0.0,2011-11-28,482.65,3074.40,3074.40,BB 20 SMA Xover Mtm,['CRM']
CRM,SHORT,2011-11-18,29.86,1963,No-Exit,0.0,0.0,2011-11-28,27.28,5064.54,5064.54,BB 20 SMA Xover Mtm,[]
NFLX,LONG,2011-12-13,76.01,153,No-Exit,0.0,0.0,2011-12-19,68.83,-1098.54,-1098.54,BB 20 SMA Xover Mtm,['AAPL']
AAPL,LONG,2011-12-02,55.97,4143,No-Exit,0.0,0.0,2012-01-12,59.86,16116.27,16116.27,BB 20 SMA Xover Mtm,['FFIV', 'CRM']
CRM,LONG,2012-01-11,26.46,22,No-Exit,0.0,0.0,2012-01-27,28.81,51.75,51.75,BB 20 SMA Xover Mtm,['FFIV']
FFIV,LONG,2012-01-10,111.99,94,No-Exit,0.0,0.0,2012-01-27,117.00,470.95,470.95,BB 20 SMA Xover Mtm,[]
NFLX,LONG,2012-03-20,115.47,102,No-Exit,0.0,0.0,2012-03-28,120.25,487.56,487.56,BB 20 SMA Xover Mtm,['AGN']
AGN,LONG,2012-02-15,60.79,4066,No-Exit,0.0,0.0,2012-04-04,66.39,22769.60,22769.60,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2012-04-16,85.60,3140,No-Exit,0.0,0.0,2012-04-24,80.37,16413.23,16413.23,BB 20 SMA Xover Mtm,['CMG']
CMG,SHORT,2012-04-23,413.90,636,No-Exit,0.0,0.0,2012-05-01,421.41,-4776.36,-4776.36,BB 20 SMA Xover Mtm,[]
CTXS,SHORT,2012-05-11,77.57,3465,No-Exit,0.0,0.0,2012-05-21,77.88,-1074.15,-1074.15,BB 20 SMA Xover Mtm,['DISCA', 'PCLN']
PCLN,SHORT,2012-05-09,708.74,197,No-Exit,0.0,0.0,2012-05-22,659.53,9694.37,9694.37,BB 20 SMA Xover Mtm,['DISCA']
AAPL,LONG,2012-05-24,82.32,3346,No-Exit,0.0,0.0,2012-06-04,78.77,-11878.30,-11878.30,BB 20 SMA Xover Mtm,['DISCA']
DISCA,SHORT,2012-05-09,50.29,2782,No-Exit,0.0,0.0,2012-06-06,49.30,2754.18,2754.18,BB 20 SMA Xover Mtm,[]
AMZN,SHORT,2012-07-11,217.31,642,No-Exit,0.0,0.0,2012-07-19,227.30,-6413.58,-6413.58,BB 20 SMA Xover Mtm,['FFIV', 'QCOM', 'PCLN', 'CRM']
PCLN,SHORT,2012-07-11,642.16,217,No-Exit,0.0,0.0,2012-07-19,677.66,-7703.50,-7703.50,BB 20 SMA Xover Mtm,['FFIV', 'QCOM', 'CRM']
FFIV,LONG,2012-07-19,99.58,889,No-Exit,0.0,0.0,2012-07-23,90.84,-7769.86,-7769.86,BB 20 SMA Xover Mtm,['QCOM', 'CRM']
CRM,LONG,2012-07-19,34.06,2474,No-Exit,0.0,0.0,2012-07-25,31.38,-6630.32,-6630.32,BB 20 SMA Xover Mtm,['QCOM']
NFLX,SHORT-SPY-NULL,2012-07-26,59.31,2726,No-Exit,0.0,0.0,2012-08-06,54.82,12253.37,0.0,BB 20 SMA Xover Mtm,['QCOM', 'PCLN']
PCLN,LONG,2012-07-30,690.83,217,No-Exit,0.0,0.0,2012-08-08,575.10,-25113.41,-25113.41,BB 20 SMA Xover Mtm,['QCOM', 'CRM']
QCOM,LONG,2012-07-19,58.85,1602,No-Exit,0.0,0.0,2012-08-21,62.27,5478.84,5478.84,BB 20 SMA Xover Mtm,['NFLX', 'CRM']
CRM,LONG,2012-08-07,33.51,953,No-Exit,0.0,0.0,2012-08-22,36.44,2792.29,2792.29,BB 20 SMA Xover Mtm,['NFLX']
NFLX,LONG,2012-08-16,63.89,1880,No-Exit,0.0,0.0,2012-08-23,64.48,1109.20,1109.20,BB 20 SMA Xover Mtm,[]
FFIV,SHORT-SPY-NULL,2012-08-31,96.42,66,No-Exit,0.0,0.0,2012-09-07,99.73,-218.46,0.0,BB 20 SMA Xover Mtm,['NFLX', 'PCLN']
NFLX,SHORT-SPY-NULL,2012-08-31,59.88,107,No-Exit,0.0,0.0,2012-09-07,56.68,342.40,0.0,BB 20 SMA Xover Mtm,['PCLN']
PCLN,LONG,2012-08-30,609.24,408,No-Exit,0.0,0.0,2012-09-20,633.94,10077.60,10077.60,BB 20 SMA Xover Mtm,['PM']
PM,LONG,2012-09-18,91.60,141,No-Exit,0.0,0.0,2012-10-01,90.27,-187.53,-187.53,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2012-09-26,95.26,2586,No-Exit,0.0,0.0,2012-10-11,92.36,7506.79,7506.79,BB 20 SMA Xover Mtm,['AMZN']
AMZN,SHORT,2012-10-10,248.45,1032,No-Exit,0.0,0.0,2012-10-18,250.44,-2053.68,-2053.68,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2012-11-26,82.46,3197,No-Exit,0.0,0.0,2012-12-05,81.27,-3795.30,-3795.30,BB 20 SMA Xover Mtm,[]
CTXS,LONG,2012-12-10,62.65,4150,No-Exit,0.0,0.0,2012-12-20,65.63,12367.00,12367.00,BB 20 SMA Xover Mtm,[]
AMZN,SHORT,2012-12-27,246.15,55,No-Exit,0.0,0.0,2013-01-07,262.97,-925.10,-925.10,BB 20 SMA Xover Mtm,['AGN', 'AAPL', 'EQT']
AAPL,LONG,2013-01-02,79.12,85,No-Exit,0.0,0.0,2013-01-14,71.81,-620.99,-620.99,BB 20 SMA Xover Mtm,['AGN', 'EQT']
AGN,SHORT-SPY-NULL,2013-01-02,85.14,73,No-Exit,0.0,0.0,2013-01-25,86.47,-97.09,0.0,BB 20 SMA Xover Mtm,['EQT']
EQT,LONG-SPY-NULL,2012-12-21,59.76,4548,No-Exit,0.0,0.0,2013-01-29,59.52,-1091.52,0.0,BB 20 SMA Xover Mtm,[]
