Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos,,,
VLO,LONG,2008-04-17,52.2,2994,No-Exit,0,0,2008-04-23,52.02,-538.92,-538.92,BB 20 SMA Xover Mtm,[],,,
VLO,LONG,2008-05-20,50.19,99,No-Exit,0,0,2008-05-27,47.07,-308.88,-308.88,BB 20 SMA Xover Mtm,['AET', 'AAPL'],,
AAPL,SHORT,2008-05-22,25.2,11,No-Exit,0,0,2008-05-28,26.82,-17.82,-17.82,BB 20 SMA Xover Mtm,['AET'],,,
AET,LONG,2008-04-24,44.35,3579,No-Exit,0,0,2008-05-28,45.15,2863.2,2863.2,BB 20 SMA Xover Mtm,[],,,
VLO,SHORT,2008-06-09,45.87,3448,No-Exit,0,0,2008-06-12,45.3,1965.36,1965.36,BB 20 SMA Xover Mtm,['AAPL'],,,
AAPL,SHORT,2008-06-10,25.68,5555,No-Exit,0,0,2008-06-25,25.22,2555.3,2555.3,BB 20 SMA Xover Mtm,[],,,
CME,LONG,2008-07-23,73.99,2196,No-Exit,0,0,2008-08-04,64.45,-20949.84,-20949.84,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2008-08-07,23.69,6019,No-Exit,0,0,2008-08-15,25.17,8908.12,8908.12,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2008-09-02,23.98,6299,No-Exit,0,0,2008-09-19,20.37,22730.39,22730.39,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2008-10-29,14.42,11973,No-Exit,0,0,2008-11-03,15.13,8535.04,8535.04,BB 20 SMA Xover Mtm,['RIG'],,,
RIG,LONG-SPY-NULL,2008-10-31,80.43,107,No-Exit,0,0,2008-11-06,77.16,-349.89,0,BB 20 SMA Xover Mtm,['TAP', 'HUM'],,
HUM,LONG,2008-11-06,36.37,2372,No-Exit,0,0,2008-11-12,33.22,-7471.8,-7471.8,BB 20 SMA Xover Mtm,['TAP', 'AAPL'],,
AAPL,SHORT,2008-11-07,14.02,991,No-Exit,0,0,2008-11-13,13.68,336.94,336.94,BB 20 SMA Xover Mtm,['TAP'],,,
TAP,LONG,2008-11-06,43.55,2044,No-Exit,0,0,2008-11-25,42.88,-1369.48,-1369.48,BB 20 SMA Xover Mtm,[],,,
AMZN,LONG-SPY-NULL,2008-12-04,45.94,3774,No-Exit,0,0,2008-12-10,48.64,10189.8,0,BB 20 SMA Xover Mtm,[],,,
RIG,LONG,2009-01-05,52.53,3465,No-Exit,0,0,2009-01-08,54.22,5855.85,5855.85,BB 20 SMA Xover Mtm,['AAPL'],,,
AAPL,LONG,2009-01-06,13.71,667,No-Exit,0,0,2009-01-14,12.14,-1045.28,-1045.28,BB 20 SMA Xover Mtm,['GD', 'FSLR'],,
FSLR,SHORT,2009-01-14,137.01,640,No-Exit,0,0,2009-01-15,143.38,-4076.8,-4076.8,BB 20 SMA Xover Mtm,['GD'],,,
GD,SHORT,2009-01-14,54.48,1639,No-Exit,0,0,2009-01-26,54.42,98.34,98.34,BB 20 SMA Xover Mtm,['AAPL'],,,
AAPL,LONG,2009-01-23,12.75,13762,No-Exit,0,0,2009-01-30,13.03,3853.36,3853.36,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2009-02-20,12.77,14546,No-Exit,0,0,2009-02-25,13.16,-5652.16,-5652.16,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2009-03-12,13.37,13546,No-Exit,0,0,2009-03-30,14.93,21131.76,21131.76,BB 20 SMA Xover Mtm,[],,,
CME,LONG,2009-05-06,50.06,4027,No-Exit,0,0,2009-05-20,55.78,23034.44,23034.44,BB 20 SMA Xover Mtm,['AAPL'],,,
AAPL,SHORT,2009-05-13,17.6,549,No-Exit,0,0,2009-05-26,18.69,-598.41,-598.41,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2009-07-07,19.6,11352,No-Exit,0,0,2009-07-14,20.38,-8854.56,-8854.56,BB 20 SMA Xover Mtm,[],,,
FSLR,LONG,2009-09-09,136.6,1577,No-Exit,0,0,2009-09-14,131.78,-7601.14,-7601.14,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2009-12-01,28.27,7317,2009-12-01,28.94,-4902.39,2009-12-09,27.89,2780.46,-4902.39,BB 20 SMA Xover Mtm,[],,,
EOG,LONG,2009-12-15,45.65,4589,No-Exit,0,0,2009-12-29,49.49,17621.76,17621.76,BB 20 SMA Xover Mtm,['AAPL', 'FDX'],,
AAPL,LONG,2009-12-22,28.6,340,No-Exit,0,0,2009-12-30,29.83,419.17,419.17,BB 20 SMA Xover Mtm,['FDX'],,,
FDX,SHORT,2009-12-18,83.63,125,No-Exit,0,0,2010-01-12,86.44,-351.25,-351.25,BB 20 SMA Xover Mtm,['PCLN'],,,
PCLN,SHORT,2010-01-07,216.89,1041,No-Exit,0,0,2010-01-20,210.86,6277.23,6277.23,BB 20 SMA Xover Mtm,[],,,
AXP,SHORT,2010-01-25,38.2,5279,No-Exit,0,0,2010-02-02,39.06,-4539.94,-4539.94,BB 20 SMA Xover Mtm,['AAPL'],,,
AAPL,SHORT,2010-01-22,29.43,7892,No-Exit,0,0,2010-02-03,28.1,10496.36,10496.36,BB 20 SMA Xover Mtm,[],,,
QCOM,LONG,2010-03-04,39.08,6088,No-Exit,0,0,2010-03-29,41.77,16376.72,16376.72,BB 20 SMA Xover Mtm,['FSLR'],,,
FSLR,LONG,2010-03-12,114.83,103,No-Exit,0,0,2010-04-12,123.94,938.33,938.33,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2010-05-07,34.82,7303,No-Exit,0,0,2010-05-11,36.61,-13103.67,-13103.67,BB 20 SMA Xover Mtm,[],,,
FSLR,LONG,2010-06-16,118.44,75,No-Exit,0,0,2010-06-21,122.22,283.5,283.5,BB 20 SMA Xover Mtm,['AAPL', 'PCLN', 'RIG'],
AAPL,LONG,2010-05-28,37.06,6619,No-Exit,0,0,2010-06-24,38.49,9495.33,9495.33,BB 20 SMA Xover Mtm,['PCLN', 'RIG'],,
PCLN,LONG,2010-06-17,198.87,2,No-Exit,0,0,2010-06-29,183.91,-29.92,-29.92,BB 20 SMA Xover Mtm,['RIG'],,,
RIG,LONG,2010-06-21,55.45,2,No-Exit,0,0,2010-06-29,48.03,-14.84,-14.84,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2010-06-30,36.23,6933,No-Exit,0,0,2010-07-07,36.68,-3119.85,-3119.85,BB 20 SMA Xover Mtm,[],,,
AMZN,LONG,2010-07-13,120.71,2056,No-Exit,0,0,2010-07-15,119.45,-2590.56,-2590.56,BB 20 SMA Xover Mtm,[],,,
CMG,LONG,2010-07-26,146.96,1672,No-Exit,0,0,2010-08-06,148.29,2223.76,2223.76,BB 20 SMA Xover Mtm,['RIG'],,,
RIG,LONG,2010-08-03,51.19,240,No-Exit,0,0,2010-08-11,55.22,967.2,967.2,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2010-08-12,35.24,7031,No-Exit,0,0,2010-09-01,35.41,-1185.23,-1185.23,BB 20 SMA Xover Mtm,[],,,
EOG,LONG,2010-09-13,46.58,5319,No-Exit,0,0,2010-09-17,44.24,-12419.87,-12419.87,BB 20 SMA Xover Mtm,[],,,
BLK,LONG,2010-11-12,172.91,1364,No-Exit,0,0,2010-11-23,163.95,-12221.44,-12221.44,BB 20 SMA Xover Mtm,[],,,
PCLN,SHORT,2010-12-15,396.24,565,No-Exit,0,0,2010-12-23,416.6,-11503.4,-11503.4,BB 20 SMA Xover Mtm,[],,,
CRM,LONG,2011-01-06,36.04,5940,No-Exit,0,0,2011-01-20,33.3,-16260.75,-16260.75,BB 20 SMA Xover Mtm,['NFLX', 'CMG'],,
NFLX,LONG,2011-01-11,189.76,52,No-Exit,0,0,2011-01-20,186.82,-152.88,-152.88,BB 20 SMA Xover Mtm,['CMG'],,,
CMG,LONG,2011-01-14,231.94,2,No-Exit,0,0,2011-01-26,215.49,-32.9,-32.9,BB 20 SMA Xover Mtm,['AAPL'],,,
AAPL,SHORT,2011-01-21,47.05,4193,No-Exit,0,0,2011-02-07,50.25,-13417.6,-13417.6,BB 20 SMA Xover Mtm,['FFIV'],,,
FFIV,LONG,2011-02-07,124.88,1337,No-Exit,0,0,2011-02-16,125.35,628.39,628.39,BB 20 SMA Xover Mtm,['BWA', 'AMZN'],,
AMZN,LONG,2011-02-09,184.89,7,No-Exit,0,0,2011-02-16,187.35,17.22,17.22,BB 20 SMA Xover Mtm,['BWA'],,,
BWA,LONG,2011-02-08,35.59,740,No-Exit,0,0,2011-02-22,39.48,2878.6,2878.6,BB 20 SMA Xover Mtm,[],,,
AMZN,LONG,2011-03-25,172.81,1089,No-Exit,0,0,2011-04-12,182.86,10944.45,10944.45,BB 20 SMA Xover Mtm,['BLK'],,,
NFLX,LONG,2011-05-10,238.77,794,No-Exit,0,0,2011-05-16,238.74,-23.82,-23.82,BB 20 SMA Xover Mtm,['CMG', 'AAPL', 'BLK'],
AAPL,SHORT,2011-05-16,48.16,14,No-Exit,0,0,2011-06-01,49.84,-23.5,-23.5,BB 20 SMA Xover Mtm,['CMG', 'BLK'],,
CMG,LONG,2011-05-12,277.04,34,No-Exit,0,0,2011-06-01,288.09,375.7,375.7,BB 20 SMA Xover Mtm,['BLK'],,,
BLK,LONG,2011-03-31,200.83,47,No-Exit,0,0,2011-06-03,195.99,-227.48,-227.48,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2011-06-28,47.91,4149,No-Exit,0,0,2011-07-12,49.96,8505.45,8505.45,BB 20 SMA Xover Mtm,[],,,
AMZN,SHORT,2011-08-03,209.58,987,No-Exit,0,0,2011-08-10,200.76,8705.34,8705.34,BB 20 SMA Xover Mtm,['AAPL'],,,
AAPL,SHORT,2011-08-05,53.37,3926,No-Exit,0,0,2011-08-12,54.01,-2512.64,-2512.64,BB 20 SMA Xover Mtm,[],,,
NFLX,LONG,2011-08-31,238.93,2,No-Exit,0,0,2011-09-02,208.71,-60.44,-60.44,BB 20 SMA Xover Mtm,['AAPL', 'QCOM', 'PCLN'],
PCLN,LONG,2011-08-29,510,209,No-Exit,0,0,2011-09-02,519.96,2081.64,2081.64,BB 20 SMA Xover Mtm,['AAPL', 'QCOM'],,
AAPL,LONG,2011-08-29,55.45,1921,No-Exit,0,0,2011-09-12,53.7,-3372.73,-3372.73,BB 20 SMA Xover Mtm,['QCOM'],,,
QCOM,LONG,2011-08-30,51.43,200,No-Exit,0,0,2011-09-19,53.06,326,326,BB 20 SMA Xover Mtm,[],,,
AMZN,SHORT,2011-09-30,218.19,480,No-Exit,0,0,2011-10-05,219.13,-451.2,-451.2,BB 20 SMA Xover Mtm,['AAPL'],,,
AAPL,SHORT,2011-09-30,55.24,1916,No-Exit,0,0,2011-10-06,54.04,2299.2,2299.2,BB 20 SMA Xover Mtm,[],,,
CRM,SHORT,2011-11-18,29.86,3421,No-Exit,0,0,2011-11-28,27.28,8826.18,8826.18,BB 20 SMA Xover Mtm,['PCLN'],,,
PCLN,SHORT,2011-11-18,508.27,210,No-Exit,0,0,2011-11-28,482.65,5380.2,5380.2,BB 20 SMA Xover Mtm,[],,,
NFLX,LONG,2011-12-13,76.01,149,No-Exit,0,0,2011-12-19,68.83,-1069.82,-1069.82,BB 20 SMA Xover Mtm,['AAPL'],,,
AAPL,LONG,2011-12-02,55.97,4056,No-Exit,0,0,2012-01-12,59.86,15777.84,15777.84,BB 20 SMA Xover Mtm,['FFIV', 'CRM'],,
CRM,LONG,2012-01-11,26.46,21,No-Exit,0,0,2012-01-27,28.81,49.4,49.4,BB 20 SMA Xover Mtm,['FFIV'],,,
FFIV,LONG,2012-01-10,111.99,92,No-Exit,0,0,2012-01-27,117,460.93,460.93,BB 20 SMA Xover Mtm,[],,,
NFLX,LONG,2012-03-20,115.47,100,No-Exit,0,0,2012-03-28,120.25,478,478,BB 20 SMA Xover Mtm,['AGN'],,,
AGN,LONG,2012-02-15,60.79,3980,No-Exit,0,0,2012-04-09,66.16,21372.6,21372.6,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2012-04-16,85.6,3063,No-Exit,0,0,2012-04-24,80.37,16010.74,16010.74,BB 20 SMA Xover Mtm,['CMG'],,,
CMG,SHORT,2012-04-23,413.9,621,No-Exit,0,0,2012-05-01,421.41,-4663.71,-4663.71,BB 20 SMA Xover Mtm,[],,,
CTXS,SHORT,2012-05-11,77.57,3381,No-Exit,0,0,2012-05-21,77.88,-1048.11,-1048.11,BB 20 SMA Xover Mtm,['DISCA', 'PCLN'],,
PCLN,SHORT,2012-05-09,708.74,192,No-Exit,0,0,2012-05-22,659.53,9448.32,9448.32,BB 20 SMA Xover Mtm,['DISCA'],,,
AAPL,LONG,2012-05-24,82.32,3264,No-Exit,0,0,2012-06-04,78.77,-11587.2,-11587.2,BB 20 SMA Xover Mtm,['DISCA'],,,
DISCA,SHORT,2012-05-09,50.29,2714,No-Exit,0,0,2012-06-06,49.3,2686.86,2686.86,BB 20 SMA Xover Mtm,[],,,
AMZN,SHORT,2012-07-11,217.31,627,No-Exit,0,0,2012-07-19,227.3,-6263.73,-6263.73,BB 20 SMA Xover Mtm,['FFIV', 'QCOM', 'PCLN', 'CRM']
PCLN,SHORT,2012-07-11,642.16,212,No-Exit,0,0,2012-07-19,677.66,-7526,-7526,BB 20 SMA Xover Mtm,['FFIV', 'QCOM', 'CRM'],
FFIV,LONG,2012-07-19,99.58,867,No-Exit,0,0,2012-07-23,90.84,-7577.58,-7577.58,BB 20 SMA Xover Mtm,['QCOM', 'CRM'],,
CRM,LONG,2012-07-19,34.06,2414,No-Exit,0,0,2012-07-25,31.38,-6469.52,-6469.52,BB 20 SMA Xover Mtm,['QCOM'],,,
NFLX,SHORT-SPY-NULL,2012-07-26,59.31,2659,No-Exit,0,0,2012-08-06,54.82,11952.2,0,BB 20 SMA Xover Mtm,['QCOM', 'PCLN'],,
PCLN,LONG,2012-07-30,690.83,211,No-Exit,0,0,2012-08-08,575.1,-24419.03,-24419.03,BB 20 SMA Xover Mtm,['QCOM', 'CRM'],,
QCOM,LONG,2012-07-19,58.85,1563,No-Exit,0,0,2012-08-21,62.27,5345.46,5345.46,BB 20 SMA Xover Mtm,['NFLX', 'CRM'],,
CRM,LONG,2012-08-07,33.51,943,No-Exit,0,0,2012-08-22,36.44,2762.99,2762.99,BB 20 SMA Xover Mtm,['NFLX'],,,
NFLX,LONG,2012-08-16,63.89,1829,No-Exit,0,0,2012-08-23,64.48,1079.11,1079.11,BB 20 SMA Xover Mtm,[],,,
FFIV,SHORT-SPY-NULL,2012-08-31,96.42,65,No-Exit,0,0,2012-09-07,99.73,-215.15,0,BB 20 SMA Xover Mtm,['NFLX', 'PCLN'],,
NFLX,SHORT-SPY-NULL,2012-08-31,59.88,105,No-Exit,0,0,2012-09-07,56.68,336,0,BB 20 SMA Xover Mtm,['PCLN'],,,
PCLN,LONG,2012-08-30,609.24,398,No-Exit,0,0,2012-09-20,633.94,9830.6,9830.6,BB 20 SMA Xover Mtm,['PM'],,,
PM,LONG,2012-09-18,91.6,139,No-Exit,0,0,2012-10-01,90.27,-184.87,-184.87,BB 20 SMA Xover Mtm,['AAPL'],,,
AAPL,SHORT,2012-09-26,95.26,2523,No-Exit,0,0,2012-10-11,92.36,7323.91,7323.91,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2012-11-26,82.46,3143,No-Exit,0,0,2012-12-05,81.27,-3731.19,-3731.19,BB 20 SMA Xover Mtm,[],,,
AMZN,SHORT,2012-12-27,246.15,52,No-Exit,0,0,2013-01-07,262.97,-874.64,-874.64,BB 20 SMA Xover Mtm,['AGN', 'AAPL', 'EQT'],
AAPL,LONG,2013-01-02,79.12,80,No-Exit,0,0,2013-01-14,71.81,-584.46,-584.46,BB 20 SMA Xover Mtm,['AGN', 'EQT'],,
AGN,SHORT-SPY-NULL,2013-01-02,85.14,69,No-Exit,0,0,2013-01-25,86.47,-91.77,0,BB 20 SMA Xover Mtm,['EQT'],,,
EQT,LONG-SPY-NULL,2012-12-21,59.76,4278,No-Exit,0,0,2013-01-29,59.52,-1026.72,0,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2013-03-18,64.01,197,No-Exit,0,0,2013-03-27,65.21,236.12,236.12,BB 20 SMA Xover Mtm,['PCLN', 'CRM'],,
CRM,LONG,2013-03-04,45.95,5511,No-Exit,0,0,2013-04-04,41.34,-25405.71,-25405.71,BB 20 SMA Xover Mtm,['PCLN', 'THC'],,
PCLN,SHORT,2013-03-19,689.84,1,No-Exit,0,0,2013-04-11,720.91,-31.07,-31.07,BB 20 SMA Xover Mtm,['THC'],,,
THC,SHORT,2013-04-04,43.65,295,No-Exit,0,0,2013-04-23,40.44,946.95,946.95,BB 20 SMA Xover Mtm,['PCLN'],,,
VLO,LONG,2013-04-25,42.39,1693,No-Exit,0,0,2013-05-01,39.53,-4841.98,-4841.98,BB 20 SMA Xover Mtm,['GD', 'BRCM', 'PCLN', 'AAPL']
PCLN,SHORT,2013-04-19,683.11,335,No-Exit,0,0,2013-05-03,722.08,-13054.95,-13054.95,BB 20 SMA Xover Mtm,['GD', 'BRCM', 'AAPL'],
AAPL,LONG,2013-04-30,62.16,239,No-Exit,0,0,2013-05-10,64.91,657.93,657.93,BB 20 SMA Xover Mtm,['GD', 'BRCM'],,
BRCM,LONG,2013-04-25,35.44,2096,No-Exit,0,0,2013-05-14,36.12,1425.28,1425.28,BB 20 SMA Xover Mtm,['GD'],,,
GD,LONG,2013-04-25,72.45,1013,No-Exit,0,0,2013-05-22,77.36,4973.83,4973.83,BB 20 SMA Xover Mtm,['AAPL'],,,
FSLR,SHORT,2013-06-12,49.56,3355,No-Exit,0,0,2013-06-17,46.31,10903.75,10903.75,BB 20 SMA Xover Mtm,['AXP', 'VLO', 'AAPL', 'FFIV']
FFIV,SHORT,2013-06-04,78.37,2538,No-Exit,0,0,2013-06-18,75.66,6877.98,6877.98,BB 20 SMA Xover Mtm,['AXP', 'VLO', 'AAPL'],
AXP,SHORT,2013-06-13,73.97,2343,No-Exit,0,0,2013-06-26,74.11,-328.02,-328.02,BB 20 SMA Xover Mtm,['VLO', 'AAPL'],,
VLO,SHORT,2013-06-05,38.57,4907,No-Exit,0,0,2013-06-26,35.31,15996.82,15996.82,BB 20 SMA Xover Mtm,['AAPL'],,,
AAPL,SHORT,2013-05-16,60.46,2398,No-Exit,0,0,2013-07-01,57.6,6865.13,6865.13,BB 20 SMA Xover Mtm,[],,,
FFIV,LONG,2013-07-11,74.6,3553,No-Exit,0,0,2013-07-19,79.95,19008.55,19008.55,BB 20 SMA Xover Mtm,[],,,
NFLX,SHORT,2013-10-09,299.3,459,No-Exit,0,0,2013-10-14,322.31,-10561.59,-10561.59,BB 20 SMA Xover Mtm,['PCLN', 'AMZN'],,
AMZN,SHORT,2013-10-08,306.93,900,No-Exit,0,0,2013-10-18,319.36,-11187,-11187,BB 20 SMA Xover Mtm,['PCLN'],,,
PCLN,SHORT,2013-10-09,988.15,134,No-Exit,0,0,2013-10-21,1071.91,-11223.84,-11223.84,BB 20 SMA Xover Mtm,[],,,
DTV,SHORT,2013-12-17,65.09,188,No-Exit,0,0,2013-12-30,68.05,-556.48,-556.48,BB 20 SMA Xover Mtm,['EOG', 'CPB'],,
FSLR,LONG,2014-01-03,58.01,20,No-Exit,0,0,2014-01-06,54.09,-78.4,-78.4,BB 20 SMA Xover Mtm,['EOG', 'CPB'],,
EOG,LONG,2013-12-20,83.49,133,No-Exit,0,0,2014-01-14,82.03,-194.18,-194.18,BB 20 SMA Xover Mtm,['CPB'],,,
CPB,LONG,2013-12-09,42.85,5716,No-Exit,0,0,2014-02-05,39.62,-18462.68,-18462.68,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2014-02-11,76.33,158,No-Exit,0,0,2014-02-19,76.72,61.62,61.62,BB 20 SMA Xover Mtm,['PCLN'],,,
PCLN,LONG,2014-02-10,1207.34,187,No-Exit,0,0,2014-02-20,1270.58,11825.88,11825.88,BB 20 SMA Xover Mtm,[],,,
PCLN,SHORT,2014-03-14,1286.73,184,No-Exit,0,0,2014-03-31,1205.46,14953.68,14953.68,BB 20 SMA Xover Mtm,['CMG', 'AMZN', 'EQT'],
AMZN,SHORT-SPY-NULL,2014-03-24,357.01,672,No-Exit,0,0,2014-04-01,343.43,9125.76,0,BB 20 SMA Xover Mtm,['CMG', 'EQT'],,
EQT,SHORT-SPY-NULL,2014-03-26,98.09,1210,No-Exit,0,0,2014-04-03,101.79,-4477,0,BB 20 SMA Xover Mtm,['CMG'],,,
CMG,SHORT-SPY-NULL,2014-03-26,564.97,217,No-Exit,0,0,2014-04-09,555.36,2085.37,0,BB 20 SMA Xover Mtm,['AAPL'],,,
AAPL,SHORT,2014-04-07,75.21,3423,No-Exit,0,0,2014-04-23,75.58,-1266.51,-1266.51,BB 20 SMA Xover Mtm,['PCLN'],,,
PCLN,LONG,2014-04-17,1224.37,172,No-Exit,0,0,2014-04-25,1158.05,-11407.04,-11407.04,BB 20 SMA Xover Mtm,[],,,
MSI,LONG,2014-05-05,66.17,3724,No-Exit,0,0,2014-05-15,66.69,1936.48,1936.48,BB 20 SMA Xover Mtm,['NFLX', 'CRM'],,
NFLX,LONG,2014-05-13,348.9,17,No-Exit,0,0,2014-06-04,415.26,1128.12,1128.12,BB 20 SMA Xover Mtm,['AMZN', 'CRM'],,
AMZN,LONG,2014-05-22,308.06,768,No-Exit,0,0,2014-06-13,327.05,14584.32,14584.32,BB 20 SMA Xover Mtm,['CRM'],,,
CRM,LONG,2014-05-13,53.96,114,No-Exit,0,0,2014-06-20,57.01,347.7,347.7,BB 20 SMA Xover Mtm,[],,,
THC,LONG,2014-07-17,49.2,5356,No-Exit,0,0,2014-07-30,53.07,20727.72,20727.72,BB 20 SMA Xover Mtm,['TSN'],,,
TSN,SHORT-SPY-NULL,2014-07-30,38.78,340,No-Exit,0,0,2014-08-12,37.3,503.2,0,BB 20 SMA Xover Mtm,[],,,
NFLX,SHORT,2014-09-16,448.4,571,No-Exit,0,0,2014-10-03,456.81,-4802.11,-4802.11,BB 20 SMA Xover Mtm,['JNJ', 'AAPL'],,
AAPL,SHORT,2014-09-04,97.95,2896,No-Exit,0,0,2014-10-09,101.54,-10396.64,-10396.64,BB 20 SMA Xover Mtm,['JNJ'],,,
JNJ,SHORT,2014-10-02,103.26,2597,No-Exit,0,0,2014-10-20,98.83,11504.71,11504.71,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2014-10-21,103.02,2781,No-Exit,0,0,2014-12-01,116.75,38183.13,38183.13,BB 20 SMA Xover Mtm,['PCLN', 'AMZN'],,
AMZN,LONG,2014-11-11,308.16,25,No-Exit,0,0,2014-12-01,330.23,551.75,551.75,BB 20 SMA Xover Mtm,['PCLN'],,,
AAPL,SHORT,2014-12-09,110.19,2845,No-Exit,0,0,2014-12-18,111.87,-4779.6,-4779.6,BB 20 SMA Xover Mtm,['PCLN'],,,
PCLN,SHORT,2014-11-05,1086.72,7,No-Exit,0,0,2014-12-22,1117.89,-218.19,-218.19,BB 20 SMA Xover Mtm,[],,,
NFLX,LONG,2014-12-26,345.52,903,No-Exit,0,0,2014-12-31,343.23,-2067.87,-2067.87,BB 20 SMA Xover Mtm,[],,,
