AAPL,LONG,2013-01-02,79.12,3,No-Exit,0.0,0.0,2013-01-14,71.81,-21.92,-21.92,BB 20 SMA Xover Mtm,['EQT', 'COH']
COH,LONG,2013-01-09,57.90,1551,No-Exit,0.0,0.0,2013-01-22,60.51,4048.11,4048.11,BB 20 SMA Xover Mtm,['EQT']
EQT,LONG-SPY-NULL,2012-12-21,59.76,77,No-Exit,0.0,0.0,2013-01-29,59.52,-18.48,0.0,BB 20 SMA Xover Mtm,[]
C,LONG,2013-03-05,43.41,2005,No-Exit,0.0,0.0,2013-03-13,46.33,5854.60,5854.60,BB 20 SMA Xover Mtm,['HAL']
HAL,SHORT-SPY-NULL,2013-02-22,40.36,2434,No-Exit,0.0,0.0,2013-03-26,39.89,1143.98,0.0,BB 20 SMA Xover Mtm,['MNST', 'AAPL', 'NE', 'PCLN', 'ROST']
AAPL,LONG,2013-03-18,64.01,91,No-Exit,0.0,0.0,2013-03-27,65.21,109.07,109.07,BB 20 SMA Xover Mtm,['MNST', 'NE', 'PCLN', 'ROST']
MNST,LONG,2013-03-20,50.22,110,No-Exit,0.0,0.0,2013-03-27,47.60,-288.20,-288.20,BB 20 SMA Xover Mtm,['NE', 'PCLN', 'ROST']
ROST,LONG,2013-03-22,58.64,11,No-Exit,0.0,0.0,2013-04-02,59.50,9.46,9.46,BB 20 SMA Xover Mtm,['HUM', 'NE', 'EBAY', 'PCLN']
NE,LONG,2013-03-15,37.74,2294,No-Exit,0.0,0.0,2013-04-04,36.16,-3624.52,-3624.52,BB 20 SMA Xover Mtm,['HUM', 'EBAY', 'PCLN']
HUM,LONG,2013-03-28,69.41,314,No-Exit,0.0,0.0,2013-04-05,78.38,2816.58,2816.58,BB 20 SMA Xover Mtm,['EBAY', 'PCLN', 'THC']
PCLN,SHORT,2013-03-19,689.84,4,No-Exit,0.0,0.0,2013-04-11,720.91,-124.28,-124.28,BB 20 SMA Xover Mtm,['C', 'EBAY', 'THC']
EBAY,LONG,2013-04-01,55.64,20,No-Exit,0.0,0.0,2013-04-15,56.84,24.00,24.00,BB 20 SMA Xover Mtm,['C', 'THC']
THC,SHORT,2013-04-04,43.65,14,No-Exit,0.0,0.0,2013-04-23,40.16,48.86,48.86,BB 20 SMA Xover Mtm,['C', 'MCD', 'EBAY', 'PCLN']
C,LONG,2013-04-11,45.51,2257,No-Exit,0.0,0.0,2013-04-30,46.64,2550.41,2550.41,BB 20 SMA Xover Mtm,['AAPL', 'MCD', 'LEN', 'EBAY', 'MET', 'GD', 'PCLN']
MET,LONG,2013-04-24,38.15,73,No-Exit,0.0,0.0,2013-05-01,38.39,17.52,17.52,BB 20 SMA Xover Mtm,['AAPL', 'MCD', 'LEN', 'EBAY', 'GD', 'PCLN']
MCD,SHORT,2013-04-22,98.92,60,No-Exit,0.0,0.0,2013-05-03,103.10,-250.80,-250.80,BB 20 SMA Xover Mtm,['AAPL', 'LEN', 'EBAY', 'GD', 'PCLN']
PCLN,SHORT,2013-04-19,683.11,4,No-Exit,0.0,0.0,2013-05-03,722.08,-155.88,-155.88,BB 20 SMA Xover Mtm,['AAPL', 'LEN', 'EBAY', 'GD']
EBAY,SHORT,2013-04-19,52.29,58,No-Exit,0.0,0.0,2013-05-09,54.99,-156.60,-156.60,BB 20 SMA Xover Mtm,['AAPL', 'LEN', 'GD']
AAPL,LONG,2013-04-30,62.16,8,No-Exit,0.0,0.0,2013-05-10,64.91,22.02,22.02,BB 20 SMA Xover Mtm,['LEN', 'GD']
LEN,LONG,2013-04-24,41.86,52,No-Exit,0.0,0.0,2013-05-16,42.76,46.80,46.80,BB 20 SMA Xover Mtm,['AAPL', 'GD']
GD,LONG,2013-04-25,72.45,3,No-Exit,0.0,0.0,2013-05-22,77.36,14.73,14.73,BB 20 SMA Xover Mtm,['AAPL', 'MRK']
MRK,LONG,2013-05-22,47.80,1952,No-Exit,0.0,0.0,2013-06-06,47.97,331.84,331.84,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2013-05-16,60.46,1707,No-Exit,0.0,0.0,2013-07-01,57.60,4886.90,4886.90,BB 20 SMA Xover Mtm,[]
