SBUX,LONG,2012-12-07,51.95,6,No-Exit,0,0,2012-12-07,52.47,3.13,2012-12-13,51.7,-1.5,3.13,3.13,BB Spread,['GOOGL', 'LYB'],,,
LYB,LONG,2012-12-06,49.16,109,No-Exit,0,0,2012-12-07,49.66,54.03,2012-12-13,50.74,172.22,54.03,172.22,BB Spread,['GOOGL'],,,,
GOOGL,LONG,2012-11-29,346.63,308,No-Exit,0,0,2012-12-03,350.14,1081.45,2012-12-14,349.58,910.14,1081.45,1081.45,BB Spread,[],,,,
COG,LONG,2013-02-25,30.02,3563,No-Exit,0,0,2013-02-25,30.31,1038.37,2013-03-05,31.29,4524.81,1038.37,4524.81,BB Spread,['HLF'],,,,
VMW,LONG,2013-03-14,83.02,1337,No-Exit,0,0,2013-03-14,83.87,1137.79,2013-03-21,80.13,-3863.93,1137.79,1137.79,BB Spread,[],,,,
EBAY,LONG,2013-04-02,56.26,97,No-Exit,0,0,No-Exit,0,0,2013-04-05,54.73,-148.41,-148.41,-148.41,BB Spread,['NFLX'],,,,
NFLX,LONG,2013-03-27,191.54,560,No-Exit,0,0,2013-03-27,193.44,1065.34,2013-05-02,212.28,11614.4,1065.34,11614.4,BB Spread,[],,,,
EOG,LONG,2013-05-08,67.99,1738,No-Exit,0,0,2013-05-08,68.67,1189.16,2013-05-10,65.89,-3649.8,1189.16,1189.16,BB Spread,[],,,,
NFLX,LONG,2013-08-21,273.74,419,No-Exit,0,0,No-Exit,0,0,2013-08-22,269.75,-1671.81,-1671.81,-1671.81,BB Spread,[],,,,
DUST,LONG,2013-09-13,36.97,3016,2013-09-13,35.3,-5036.72,No-Exit,0,0,2013-09-16,34.26,-8173.36,-5036.72,-5036.72,BB Spread,[],,,,
BIDU,LONG,2013-10-21,167.55,301,2013-10-21,161.57,-1799.98,No-Exit,0,0,2013-10-22,160.71,-2058.84,-1799.98,-1799.98,BB Spread,['GOOGL'],,,,
GOOGL,LONG,2013-10-21,507.83,98,No-Exit,0,0,2013-10-23,512.84,490.49,2013-10-28,507.29,-52.92,490.49,490.49,BB Spread,[],,,,
EXPE,LONG,2013-11-01,59,1667,No-Exit,0,0,2013-11-04,59.59,990.97,2013-11-14,60.73,2883.91,990.97,2883.91,BB Spread,[],,,,
AAPL,LONG,2013-11-27,75.04,1364,No-Exit,0,0,2013-11-27,75.8,1041.95,2013-12-11,78.77,5088.69,1041.95,5088.69,BB Spread,[],,,,
IWM,LONG,2013-12-23,112.49,889,No-Exit,0,0,2013-12-24,113.62,1008.5,2014-01-06,112.54,44.45,1008.5,1008.5,BB Spread,[],,,,
STZ,LONG,2014-01-09,77.7,1338,No-Exit,0,0,2014-01-10,78.48,1038.29,2014-01-22,79.06,1819.68,1038.29,1819.68,BB Spread,['V'],,,,
V,LONG,2014-01-21,232.64,40,No-Exit,0,0,No-Exit,0,0,2014-01-24,224.71,-317.22,-317.22,-317.22,BB Spread,[],,,,
TRIP,LONG,2014-02-13,91.9,1235,No-Exit,0,0,2014-02-18,92.81,1126.2,2014-02-27,99.68,9608.3,1126.2,9608.3,BB Spread,[],,,,
ISRG,LONG,2014-04-02,504.37,178,No-Exit,0,0,2014-04-02,509.56,922.93,2014-04-08,484.8,-3483.46,922.93,922.93,BB Spread,['AAPL', 'SQQQ'],,,
IWM,LONG,2014-05-27,111.99,969,No-Exit,0,0,2014-06-05,113.11,1081.09,2014-06-13,113.72,1676.37,1081.09,1676.37,BB Spread,[],,,,
TSLA,LONG,2014-06-17,224.11,500,No-Exit,0,0,2014-06-17,226.43,1158.35,2014-06-20,227.16,1525,1158.35,1525,BB Spread,[],,,,
SLB,LONG,2014-06-26,113.96,49,No-Exit,0,0,2014-06-26,115.12,56.43,2014-07-02,116.37,117.85,56.43,117.85,BB Spread,['SINA'],,,,
SINA,LONG,2014-06-25,49.5,2255,No-Exit,0,0,2014-06-30,49.98,1077.89,2014-07-03,50.2,1578.5,1077.89,1578.5,BB Spread,[],,,,
AMZN,LONG,2014-07-14,347.2,326,No-Exit,0,0,2014-07-14,350.75,1158.34,2014-07-22,355.25,2624.3,1158.34,2624.3,BB Spread,[],,,,
SPLK,LONG,2014-09-02,55.15,1930,No-Exit,0,0,2014-09-02,55.75,1156.65,2014-09-09,58.4,6272.5,1156.65,6272.5,BB Spread,['BIDU'],,,,
BIDU,LONG,2014-09-03,227.5,23,No-Exit,0,0,2014-09-03,229.77,52.31,2014-09-09,224.84,-61.18,52.31,52.31,BB Spread,[],,,,
BIDU,LONG,2014-09-19,229.92,20,No-Exit,0,0,No-Exit,0,0,2014-09-22,222.31,-152.2,-152.2,-152.2,BB Spread,['DRC', 'LNKD'],,,
DRC,LONG,2014-09-18,74.73,1468,No-Exit,0,0,2014-09-19,75.55,1206.99,2014-10-09,81.74,10290.68,1206.99,10290.68,BB Spread,[],,,,
LNKD,LONG,2014-11-03,230.79,1,No-Exit,0,0,2014-11-03,233.12,2.33,2014-11-05,222.99,-7.8,2.33,2.33,BB Spread,['GILD', 'IWM'],,,
