Ticker,Date,Open,High,Low,Close,Volume,Dividend,Split
WHR,04/19/2007,89.28,89.85,88.6,89.68,1105200.0,0.0,1.0
WHR,04/20/2007,90.55,91.36,90.0,90.47,978500.0,0.0,1.0
WHR,04/23/2007,90.4,90.97,90.21,90.35,971600.0,0.0,1.0
WHR,04/24/2007,98.3,105.65,96.16,102.85,10729600.0,0.0,1.0
WHR,04/25/2007,101.27,107.63,100.94,107.4,3699300.0,0.0,1.0
WHR,04/26/2007,107.41,109.14,106.75,107.05,2333000.0,0.0,1.0
WHR,04/27/2007,105.85,106.73,105.27,106.41,1480100.0,0.0,1.0
WHR,04/30/2007,108.29,108.29,105.84,106.03,1287700.0,0.0,1.0
WHR,05/01/2007,106.1,108.64,105.38,108.1,1521000.0,0.0,1.0
WHR,05/02/2007,108.2,114.74,108.2,113.14,3837900.0,0.0,1.0
WHR,05/03/2007,112.5,113.7,111.74,112.82,1891800.0,0.0,1.0
WHR,05/04/2007,113.34,113.34,110.72,111.21,1801800.0,0.0,1.0
WHR,05/07/2007,110.7,111.97,110.25,111.85,1052200.0,0.0,1.0
WHR,05/08/2007,111.6,112.33,110.85,112.33,903000.0,0.0,1.0
WHR,05/09/2007,112.0,114.07,111.91,114.0,1242400.0,0.0,1.0
WHR,05/10/2007,113.99,114.48,111.23,111.37,1237200.0,0.0,1.0
WHR,05/11/2007,112.55,113.05,111.75,112.4,1501600.0,0.0,1.0
WHR,05/14/2007,111.85,112.9,111.36,111.83,743500.0,0.0,1.0
WHR,05/15/2007,111.45,112.75,110.24,111.68,1110400.0,0.0,1.0
WHR,05/16/2007,111.35,111.84,109.71,111.59,1435900.0,0.43,1.0
WHR,05/17/2007,111.4,113.7,110.8,113.14,1326200.0,0.0,1.0
WHR,05/18/2007,113.72,114.7,112.01,113.83,1768500.0,0.0,1.0
WHR,05/21/2007,113.03,113.79,113.03,113.48,980800.0,0.0,1.0
WHR,05/22/2007,115.62,115.62,112.28,113.13,1335900.0,0.0,1.0
WHR,05/23/2007,113.25,113.91,112.5,112.53,1454500.0,0.0,1.0
WHR,05/24/2007,112.97,114.08,110.95,111.18,1405300.0,0.0,1.0
WHR,05/25/2007,111.43,112.11,110.8,111.22,771300.0,0.0,1.0
WHR,05/29/2007,111.74,112.14,110.38,110.87,804500.0,0.0,1.0
WHR,05/30/2007,110.43,112.0,110.05,111.83,737200.0,0.0,1.0
WHR,05/31/2007,112.44,112.8,111.12,111.65,864700.0,0.0,1.0
WHR,06/01/2007,111.91,112.25,111.07,111.39,890000.0,0.0,1.0
WHR,06/04/2007,111.4,112.47,111.15,112.06,654300.0,0.0,1.0
WHR,06/05/2007,111.57,113.55,111.5,111.72,1127800.0,0.0,1.0
WHR,06/06/2007,111.0,112.65,110.68,111.77,973200.0,0.0,1.0
WHR,06/07/2007,110.94,111.17,107.53,107.64,1530200.0,0.0,1.0
WHR,06/08/2007,107.65,110.84,107.24,110.83,1023700.0,0.0,1.0
WHR,06/11/2007,110.76,112.4,109.9,111.72,753000.0,0.0,1.0
WHR,06/12/2007,110.81,112.8,110.77,111.32,1037200.0,0.0,1.0
WHR,06/13/2007,111.96,112.17,109.58,112.14,946700.0,0.0,1.0
WHR,06/14/2007,111.78,113.65,111.78,112.18,794600.0,0.0,1.0
WHR,06/15/2007,113.84,115.06,113.0,114.7,987200.0,0.0,1.0
WHR,06/18/2007,115.32,117.44,115.14,116.66,1194800.0,0.0,1.0
WHR,06/19/2007,116.85,117.42,115.35,116.85,731900.0,0.0,1.0
WHR,06/20/2007,116.8,118.0,114.59,114.6,783900.0,0.0,1.0
WHR,06/21/2007,114.5,115.35,113.2,114.77,892300.0,0.0,1.0
