GILD,LONG,2012-12-12,75.94,214,No-Exit,0,0,No-Exit,0,0,2012-12-13,74.98,-205.44,-205.44,['GOOGL', 'CP'],,,,
CP,LONG,2012-12-05,92.81,135,No-Exit,0,0,2012-12-05,94.77,264.38,2012-12-13,97.49,631.8,264.38,['GOOGL'],,,,,
GOOGL,LONG,2012-11-29,346.63,96,No-Exit,0,0,2012-11-30,347.63,96,2012-12-14,349.58,283.68,96,[],,,,,
URI,LONG,2012-12-19,44.82,795,No-Exit,0,0,No-Exit,0,0,2012-12-20,44.61,-166.95,-166.95,[],,,,,
NFLX,LONG,2013-01-14,102.12,201,No-Exit,0,0,2013-01-14,104.12,402,2013-01-16,99.22,-582.9,402,['CF'],,,,,
CF,LONG,2013-01-10,209.5,159,No-Exit,0,0,2013-01-10,211.44,308.39,2013-01-18,210.22,114.6,308.39,[],,,,,
UNP,LONG,2013-02-28,66.45,497,No-Exit,0,0,No-Exit,0,0,2013-03-01,65.99,-229.17,-229.17,[],,,,,
AGN,LONG,2013-03-11,88.48,230,No-Exit,0,0,2013-03-13,90.48,460,2013-03-19,89.95,338.1,460,['VIAB'],,,,,
VIAB,LONG,2013-03-06,59.05,558,No-Exit,0,0,2013-03-14,60.99,1080.68,2013-03-19,60.47,792.36,1080.68,[],,,,,
URI,LONG,2013-04-11,55.76,366,No-Exit,0,0,No-Exit,0,0,2013-04-15,52.92,-1039.44,-1039.44,['NFLX'],,,,,
NFLX,LONG,2013-03-27,191.54,174,No-Exit,0,0,2013-03-27,193.54,348,2013-05-02,212.28,3608.76,348,[],,,,,
CF,LONG,2013-05-10,190.86,110,No-Exit,0,0,No-Exit,0,0,2013-05-14,185.73,-564.41,-564.41,['URI'],,,,,
URI,LONG,2013-05-06,55.45,614,No-Exit,0,0,2013-05-06,57.45,1228,2013-05-14,57.04,976.26,1228,[],,,,,
CVS,LONG,2013-05-15,59.02,579,No-Exit,0,0,No-Exit,0,0,2013-05-17,57.78,-717.96,-717.96,[],,,,,
AMZN,LONG,2013-06-10,276.68,115,No-Exit,0,0,2013-06-10,278.68,230,2013-06-12,274.15,-290.95,230,['NFLX'],,,,,
MA,LONG,2013-06-19,58.14,533,No-Exit,0,0,2013-06-19,58.34,105.78,2013-06-20,57.51,-333.28,105.78,['AAPL'],,,,,
CP,LONG,2013-07-12,124.37,265,No-Exit,0,0,2013-07-15,126.35,523.61,2013-07-22,126.76,633.35,523.61,['FLT', 'WHR'],,,,
WHR,LONG,2013-07-22,126.62,161,No-Exit,0,0,2013-07-22,128.57,313.18,2013-07-24,126.96,54.74,313.18,['FLT'],,,,,
FLT,LONG,2013-07-22,87.98,139,No-Exit,0,0,2013-07-26,89.98,278,2013-07-30,88.82,116.76,278,['AGN'],,,,,
AGN,LONG,2013-07-26,130.01,220,No-Exit,0,0,2013-07-26,132.01,440,2013-08-07,135.12,1124.2,440,[],,,,,
NFLX,LONG,2013-08-21,273.74,123,No-Exit,0,0,No-Exit,0,0,2013-08-22,269.75,-490.77,-490.77,[],,,,,
AMZN,LONG,2013-09-09,299.16,112,No-Exit,0,0,2013-09-11,301.16,224,2013-09-16,297.3,-208.32,224,[],,,,,
URI,LONG,2013-09-19,58.48,225,No-Exit,0,0,No-Exit,0,0,2013-09-23,55.77,-609.75,-609.75,['UNP', 'VRX'],,,,
VRX,LONG,2013-09-18,103.29,324,No-Exit,0,0,2013-09-19,105.29,648,2013-09-24,102.58,-230.04,648,['UNP'],,,,,
UNP,LONG,2013-09-18,77.48,259,No-Exit,0,0,2013-09-19,78.46,252.98,2013-09-27,76.58,-233.1,252.98,[],,,,,
UNH,LONG,2013-10-17,70.34,278,2013-10-17,70.34,0,No-Exit,0,0,2013-10-18,69.66,-189.39,-189.39,['URI'],,,,,
CF,LONG,2013-10-21,211.86,56,No-Exit,0,0,No-Exit,0,0,2013-10-22,209.76,-117.6,-117.6,['GOOGL', 'URI'],,,,
URI,LONG,2013-10-17,60.91,528,No-Exit,0,0,2013-10-18,62.91,1056,2013-10-25,64.48,1884.96,1056,['GOOGL'],,,,,
GOOGL,LONG,2013-10-21,507.83,39,No-Exit,0,0,2013-10-21,508.83,39,2013-10-28,507.29,-21.06,39,[],,,,,
UNP,LONG,2013-11-13,76.9,426,No-Exit,0,0,2013-11-15,77.88,416.1,2013-11-19,76.95,21.3,416.1,[],,,,,
V,LONG,2013-11-29,202.99,60,No-Exit,0,0,No-Exit,0,0,2013-12-03,198.44,-272.75,-272.75,['AAPL', 'AMZN'],,,,
