Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
AMZN,SHORT-SPY-NULL,2014-03-24,357.01,7,No-Exit,0.0,0.0,2014-04-01,343.43,95.06,0.0,BB 20 SMA Xover Mtm,['FOSL', 'CMG', 'AMGN']
AMGN,SHORT-SPY-NULL,2014-03-24,121.70,20,No-Exit,0.0,0.0,2014-04-02,126.02,-86.40,0.0,BB 20 SMA Xover Mtm,['FOSL', 'CMG']
PXD,LONG,2014-04-03,195.06,46,No-Exit,0.0,0.0,2014-04-07,183.85,-515.66,-515.66,BB 20 SMA Xover Mtm,['FOSL', 'CMG']
FOSL,LONG,2014-03-19,119.22,613,No-Exit,0.0,0.0,2014-04-07,111.71,-4603.63,-4603.63,BB 20 SMA Xover Mtm,['CMG', 'AAPL']
CMG,SHORT-SPY-NULL,2014-03-26,564.97,14,No-Exit,0.0,0.0,2014-04-09,555.36,134.54,0.0,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2014-04-07,75.21,12,No-Exit,0.0,0.0,2014-04-23,75.58,-4.44,-4.44,BB 20 SMA Xover Mtm,['PCLN']
PCLN,LONG,2014-04-17,1224.37,60,No-Exit,0.0,0.0,2014-04-25,1158.05,-3979.20,-3979.20,BB 20 SMA Xover Mtm,[]
GMCR,LONG,2014-05-09,105.23,33,No-Exit,0.0,0.0,2014-05-15,115.14,327.03,327.03,BB 20 SMA Xover Mtm,['MCK', 'MSI', 'CRM']
MCK,LONG,2014-05-12,172.71,1,No-Exit,0.0,0.0,2014-05-15,177.40,4.69,4.69,BB 20 SMA Xover Mtm,['MSI', 'CRM']
MSI,LONG,2014-05-05,66.17,1062,No-Exit,0.0,0.0,2014-05-15,66.69,552.24,552.24,BB 20 SMA Xover Mtm,['CRM']
LNC,SHORT,2014-05-16,46.94,1514,No-Exit,0.0,0.0,2014-06-05,51.38,-6722.16,-6722.16,BB 20 SMA Xover Mtm,['AMZN', 'CRM']
AMZN,LONG,2014-05-22,308.06,200,No-Exit,0.0,0.0,2014-06-13,327.05,3798.00,3798.00,BB 20 SMA Xover Mtm,['CRM']
CRM,LONG,2014-05-13,53.96,1,No-Exit,0.0,0.0,2014-06-20,57.01,3.05,3.05,BB 20 SMA Xover Mtm,[]
GILD,LONG,2014-06-23,82.01,833,No-Exit,0.0,0.0,2014-07-08,86.82,4006.73,4006.73,BB 20 SMA Xover Mtm,['WYNN', 'IBM']
WYNN,LONG,2014-06-27,210.12,16,No-Exit,0.0,0.0,2014-07-17,199.15,-175.52,-175.52,BB 20 SMA Xover Mtm,['IBM', 'VIAB', 'CERN', 'BBBY', 'THC']
IBM,LONG,2014-07-02,188.21,1,No-Exit,0.0,0.0,2014-07-18,190.32,2.11,2.11,BB 20 SMA Xover Mtm,['VIAB', 'CERN', 'BBBY', 'THC']
THC,LONG,2014-07-17,49.20,1,No-Exit,0.0,0.0,2014-07-30,53.07,3.87,3.87,BB 20 SMA Xover Mtm,['VIAB', 'CERN', 'DAL', 'BBBY', 'ROP']
CERN,LONG,2014-07-16,53.43,65,No-Exit,0.0,0.0,2014-07-31,56.42,194.35,194.35,BB 20 SMA Xover Mtm,['VIAB', 'DAL', 'BBBY', 'ROP']
DAL,LONG,2014-07-24,39.54,82,No-Exit,0.0,0.0,2014-07-31,37.06,-203.36,-203.36,BB 20 SMA Xover Mtm,['VIAB', 'BBBY', 'ROP']
VIAB,LONG,2014-07-17,88.24,1,No-Exit,0.0,0.0,2014-07-31,83.75,-4.49,-4.49,BB 20 SMA Xover Mtm,['BBBY', 'ROP']
BBBY,LONG,2014-07-14,60.21,1142,No-Exit,0.0,0.0,2014-08-01,62.29,2375.36,2375.36,BB 20 SMA Xover Mtm,['ROP']
WYNN,SHORT,2014-08-07,198.53,186,No-Exit,0.0,0.0,2014-09-11,186.54,2230.14,2230.14,BB 20 SMA Xover Mtm,['TGT', 'AAPL', 'ROP', 'TWX']
TGT,LONG,2014-08-21,60.93,1120,No-Exit,0.0,0.0,2014-09-23,63.17,2508.80,2508.80,BB 20 SMA Xover Mtm,['GILD', 'AAPL', 'FB', 'ROP', 'YHOO', 'TWX', 'APD']
FB,SHORT,2014-09-16,73.52,45,No-Exit,0.0,0.0,2014-09-25,78.79,-237.15,-237.15,BB 20 SMA Xover Mtm,['GILD', 'AAPL', 'ROP', 'YHOO', 'TWX', 'APD']
GILD,SHORT,2014-09-15,101.90,65,No-Exit,0.0,0.0,2014-09-25,109.06,-465.40,-465.40,BB 20 SMA Xover Mtm,['AAPL', 'ROP', 'YHOO', 'TWX', 'APD']
APD,LONG,2014-09-19,134.37,41,No-Exit,0.0,0.0,2014-10-01,129.44,-202.13,-202.13,BB 20 SMA Xover Mtm,['AAPL', 'ROP', 'YHOO', 'TWX']
ROP,LONG,2014-07-29,150.78,1,No-Exit,0.0,0.0,2014-10-13,141.33,-9.45,-9.45,BB 20 SMA Xover Mtm,['AAPL', 'FB', 'JNJ', 'YHOO', 'TWX']
TWX,SHORT,2014-08-07,73.50,504,No-Exit,0.0,0.0,2014-10-15,72.39,559.44,559.44,BB 20 SMA Xover Mtm,['D', 'AAPL', 'FB', 'JNJ', 'YHOO']
FB,SHORT,2014-10-02,75.78,491,No-Exit,0.0,0.0,2014-10-17,74.23,761.05,761.05,BB 20 SMA Xover Mtm,['D', 'AAPL', 'WMT', 'JNJ', 'YHOO']
JNJ,SHORT,2014-10-02,103.26,331,No-Exit,0.0,0.0,2014-10-20,98.83,1466.33,1466.33,BB 20 SMA Xover Mtm,['D', 'AAPL', 'WMT', 'YHOO']
AAPL,SHORT,2014-09-04,97.95,64,No-Exit,0.0,0.0,2014-10-21,103.02,-324.48,-324.48,BB 20 SMA Xover Mtm,['D', 'WMT', 'YHOO']
YHOO,SHORT,2014-09-23,38.15,31,No-Exit,0.0,0.0,2014-10-22,42.85,-145.70,-145.70,BB 20 SMA Xover Mtm,['TXN', 'D', 'WMT']
D,SHORT,2014-10-15,67.50,1112,No-Exit,0.0,0.0,2014-10-30,71.49,-4436.88,-4436.88,BB 20 SMA Xover Mtm,['TXN', 'WMT']
TXN,LONG,2014-10-22,47.41,1362,No-Exit,0.0,0.0,2014-10-30,47.16,-340.50,-340.50,BB 20 SMA Xover Mtm,['WMT']
WMT,SHORT,2014-10-16,73.23,971,No-Exit,0.0,0.0,2014-11-07,78.76,-5369.63,-5369.63,BB 20 SMA Xover Mtm,[]
