Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos,,,,,
UNH,SHORT,2014-10-02,84.1,181,No-Exit,0,0,No-Exit,0,0,2014-10-06,86.33,-403.42,-403.42,['GD', 'WHR', 'NXPI'],,,
WHR,SHORT,2014-09-26,149.46,164,No-Exit,0,0,2014-09-29,147.47,326.64,2014-10-09,143.83,923.32,326.64,['GOOGL', 'GD', 'ODFL', 'NXPI'],,
GD,SHORT,2014-10-02,122.46,65,No-Exit,0,0,2014-10-02,120.47,129.35,2014-10-09,123.19,-47.23,129.35,['GOOGL', 'ODFL', 'NXPI'],,,
GOOGL,SHORT,2014-10-08,573.9,40,2014-10-08,579.5,-224,2014-10-08,571.9,80,2014-10-16,527,1876,-224,['AGN', 'VRX', 'V', 'ODFL', 'NXPI'],
NXPI,SHORT,2014-10-01,67.57,365,No-Exit,0,0,2014-10-02,65.57,730,2014-10-16,58.91,3160.9,730,['AGN', 'VRX', 'V', 'ODFL'],,
ODFL,SHORT,2014-10-07,68.89,344,No-Exit,0,0,2014-10-08,66.89,688,2014-10-16,65.43,1190.24,688,['AGN', 'VRX', 'V'],,,
VRX,SHORT,2014-10-13,117.98,215,No-Exit,0,0,2014-10-13,115.98,430,2014-10-17,121.14,-679.4,430,['AGN', 'V'],,,,
V,SHORT,2014-10-10,206.99,115,No-Exit,0,0,2014-10-10,204.99,229.56,2014-10-17,204.45,292.04,229.56,['AGN'],,,,,
AGN,SHORT,2014-10-14,221.35,118,No-Exit,0,0,2014-10-14,219.35,236,2014-10-17,229.63,-977.04,236,[],,,,,
GILD,LONG,2014-10-27,111.67,147,No-Exit,0,0,No-Exit,0,0,2014-10-29,108.59,-452.76,-452.76,['WHR'],,,,,
WHR,LONG,2014-10-22,154.94,171,No-Exit,0,0,2014-10-23,156.93,340.58,2014-11-04,170.35,2635.11,340.58,['IWM'],,,,,
CP,LONG,2014-11-07,205.89,114,No-Exit,0,0,2014-11-07,207.89,227.59,2014-11-12,207.8,217.54,227.59,['IWM'],,,,,
IWM,LONG,2014-10-29,113.99,89,No-Exit,0,0,2014-10-31,115.98,177.34,2014-11-14,115.97,176.22,177.34,[],,,,,
AGN,LONG,2014-11-19,269.86,102,No-Exit,0,0,No-Exit,0,0,2014-11-20,264.58,-538.56,-538.56,['NFLX'],,,,,
NFLX,SHORT,2014-11-20,362.46,47,2014-11-20,373.15,-502.43,No-Exit,0,0,2014-11-21,373.15,-502.43,-502.43,[],,,,,
NXPI,SHORT,2014-12-16,71.23,373,2014-12-16,74.86,-1353.99,No-Exit,0,0,2014-12-17,74.86,-1353.99,-1353.99,['AAPL', 'GD'],,,,
WHR,SHORT,2014-12-17,173.82,148,2014-12-17,177.52,-547.6,No-Exit,0,0,2014-12-18,191.64,-2637.36,-547.6,['AAPL', 'GD'],,,,
AAPL,SHORT,2014-12-15,109.38,248,2014-12-15,111.46,-515.84,2014-12-15,107.38,496,2014-12-18,111.87,-617.52,-515.84,['GD'],,,,,
GD,SHORT,2014-12-15,137.14,118,No-Exit,0,0,2014-12-16,135.14,236,2014-12-18,139.81,-315.06,236,[],,,,,
