Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos,,,,,
FDX,LONG,2009-10-15,78.26,354,No-Exit,0,0,No-Exit,0,0,2009-10-22,77.01,-442.5,-442.5,[],,,,,
CF,SHORT,2009-10-27,79.82,339,No-Exit,0,0,No-Exit,0,0,2009-10-29,82.13,-782.77,-782.77,['FDX', 'CP'],,,,
FDX,SHORT,2009-10-28,72.31,358,No-Exit,0,0,No-Exit,0,0,2009-10-30,73.07,-272.08,-272.08,['CP'],,,,,
FDX,SHORT,2009-11-02,70.11,378,No-Exit,0,0,No-Exit,0,0,2009-11-04,73.25,-1187.1,-1187.1,['CP'],,,,,
CP,SHORT,2009-10-27,41.9,393,No-Exit,0,0,2009-10-28,40.04,731.76,2009-11-04,43.11,-473.63,731.76,[],,,,,
FDX,LONG,2009-11-16,81.12,204,No-Exit,0,0,No-Exit,0,0,2009-11-24,79.92,-243.86,-243.86,['UNP', 'CP'],,,,
UNP,LONG,2009-11-17,29.5,342,No-Exit,0,0,No-Exit,0,0,2009-11-24,29.34,-54.96,-54.96,['CP'],,,,,
CP,LONG,2009-11-10,45.6,579,No-Exit,0,0,No-Exit,0,0,2009-11-24,45.78,102.55,102.55,[],,,,,
CF,LONG,2009-12-01,82.97,322,No-Exit,0,0,2009-12-02,84.88,612.72,2009-12-07,82,-312.49,612.72,['AAPL'],,,,,
AAPL,SHORT,2009-12-07,25.92,625,No-Exit,0,0,2009-12-07,25.65,169.1,2009-12-09,26.58,-412.5,169.1,[],,,,,
UNP,LONG,2009-12-24,30.01,868,No-Exit,0,0,No-Exit,0,0,2009-12-30,29.65,-310.08,-310.08,['AAPL'],,,,,
AAPL,LONG,2009-12-28,28.64,570,No-Exit,0,0,2009-12-28,28.91,154.22,2010-01-06,28.92,159.09,154.22,[],,,,,
AMZN,SHORT,2010-01-21,125.23,207,2010-01-21,128.13,-600.3,No-Exit,0,0,2010-01-26,122.6,544.41,-600.3,['WHR'],,,,,
WHR,SHORT,2010-01-22,69.51,366,No-Exit,0,0,2010-01-26,67.73,653.21,2010-02-02,73.04,-1291.98,653.21,[],,,,,
GILD,LONG,2010-02-18,48.58,328,No-Exit,0,0,No-Exit,0,0,2010-02-22,47.94,-209.19,-209.19,['UNP', 'GD', 'WHR', 'FDX'],,
WHR,LONG,2010-02-17,73.7,349,No-Exit,0,0,2010-02-18,75.48,622.87,2010-02-24,73.73,10.47,622.87,['UNP', 'GD', 'FDX'],,,
GD,LONG,2010-02-19,63.63,155,No-Exit,0,0,No-Exit,0,0,2010-02-25,63.03,-93,-93,['UNP', 'FDX'],,,,
UNP,LONG,2010-02-19,29.79,199,No-Exit,0,0,2010-02-25,30.7,180.68,2010-03-01,30.57,155.22,180.68,['AAPL', 'FDX'],,,,
AAPL,LONG,2010-03-01,27.83,788,No-Exit,0,0,2010-03-01,28.1,213.2,2010-03-03,28.17,265.33,213.2,['FDX'],,,,,
FDX,LONG,2010-02-22,80.01,48,No-Exit,0,0,2010-02-26,81.95,93.33,2010-03-08,84.24,203.04,93.33,['MA'],,,,,
MA,LONG,2010-03-08,23.62,1029,No-Exit,0,0,2010-03-08,23.82,202.53,2010-03-16,24.55,956.97,202.53,[],,,,,
AMZN,SHORT,2010-05-05,128,204,No-Exit,0,0,2010-05-06,126,408,2010-05-11,132.73,-964.92,408,['GD'],,,,,
WHR,SHORT,2010-05-21,82.95,312,2010-05-21,85.79,-886.73,No-Exit,0,0,2010-05-24,87.99,-1573.92,-886.73,['GD'],,,,,
NFLX,LONG,2010-05-26,107.45,242,No-Exit,0,0,2010-05-28,109.45,484,2010-06-04,109.88,588.06,484,['GD'],,,,,
FDX,SHORT,2010-06-07,76.55,124,No-Exit,0,0,2010-06-07,74.6,241.41,2010-06-09,77.27,-89.3,241.41,['UNP', 'IWM', 'GD'],,,
UNP,SHORT,2010-06-07,31.51,529,No-Exit,0,0,No-Exit,0,0,2010-06-09,32.02,-269.32,-269.32,['IWM', 'GD'],,,,
IWM,SHORT,2010-06-07,59.25,362,No-Exit,0,0,2010-06-08,57.37,679.11,2010-06-09,58.54,257.02,679.11,['GD'],,,,,
GOOGL,LONG,2010-06-17,251.72,40,2010-06-17,249.36,-94.6,2010-06-17,252.72,40,2010-06-18,249.36,-94.6,-94.6,['UNP', 'MA', 'GD', 'V'],,
V,LONG,2010-06-16,74.52,343,No-Exit,0,0,2010-06-18,76.45,662.51,2010-06-21,74.11,-140.63,662.51,['UNP', 'MA', 'GD'],,,
UNP,LONG,2010-06-16,34.54,430,No-Exit,0,0,2010-06-21,35.46,393.83,2010-06-22,35.05,219.3,393.83,['MA', 'GD'],,,,
MA,LONG,2010-06-17,20.89,272,No-Exit,0,0,2010-06-17,21.09,53.57,2010-06-25,21.1,57.11,53.57,['GOOGL', 'GD'],,,,
NFLX,SHORT,2010-07-01,108.12,235,No-Exit,0,0,2010-07-01,106.12,470,2010-07-02,110.99,-674.45,470,['GOOGL', 'GD', 'CP'],,,
GOOGL,SHORT,2010-06-25,236.99,100,No-Exit,0,0,2010-06-25,235.99,100,2010-07-08,226.78,1021.5,100,['GD', 'CP'],,,,
CP,SHORT,2010-06-30,49.99,527,No-Exit,0,0,No-Exit,0,0,2010-07-08,52.82,-1490.15,-1490.15,['GD'],,,,,
