Period,Period#,# of trades,winning trades,winning percent,PorL,StrategyReturn,MarketReturn,Strategy vs Market,Strategy+2 vs M,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
06-03-2012--05-29-2013,67,24,9,37.5,-4616.41,-4.61641,28.9773614364,0,0,14,5,35.7142857143,10,4,40
10-01-2012--09-26-2013,71,18,7,38.8888888889,-5976.26,-5.97626,17.5586269008,0,0,10,4,40,8,3,37.5
05-04-2012--04-29-2013,66,24,9,37.5,-6238.99,-6.23899,16.2773722628,0,0,13,5,38.4615384615,11,4,36.3636363636
08-02-2012--07-28-2013,69,22,8,36.3636363636,-6975.45,-6.97545,23.7631733021,0,0,13,5,38.4615384615,9,3,33.3333333333
12-27-2007--12-21-2008,13,19,5,26.3157894737,-8005.04,-8.00504,-40.279000474,1,1,7,1,14.2857142857,12,4,33.3333333333
11-27-2007--11-21-2008,12,20,5,25,-9569.85,-9.56985,-44.2238900189,1,1,8,1,12.5,12,4,33.3333333333
07-03-2012--06-28-2013,68,24,8,33.3333333333,-9598.42,-9.59842,16.7438069455,0,0,13,4,30.7692307692,11,4,36.3636363636
07-24-2008--07-19-2009,20,14,5,35.7142857143,-9786.78,-9.78678,-25.0019918732,1,1,5,2,40,9,3,33.3333333333
12-25-2013--12-20-2014,86,22,8,36.3636363636,-10182.26,-10.18226,12.3276495064,0,0,16,7,43.75,6,1,16.6666666667
09-01-2012--08-27-2013,70,19,7,36.8421052632,-10724.83,-10.72483,15.8122385308,0,0,10,4,40,9,3,33.3333333333
08-23-2008--08-18-2009,21,14,5,35.7142857143,-10999.75,-10.99975,-21.9579428211,1,1,5,2,40,9,3,33.3333333333
05-25-2008--05-20-2009,18,14,4,28.5714285714,-13677.35,-13.67735,-34.7252271744,1,1,3,1,33.3333333333,11,3,27.2727272727
09-22-2008--09-17-2009,22,13,5,38.4615384615,-15985.51,-15.98551,-11.9613670134,0,1,6,3,50,7,2,28.5714285714
10-28-2007--10-22-2008,11,23,5,21.7391304348,-16844.49,-16.84449,-41.2508921041,1,1,8,1,12.5,15,4,26.6666666667
01-26-2008--01-20-2009,14,17,3,17.6470588235,-18321.67,-18.32167,-40.4244306418,1,1,7,1,14.2857142857,10,2,20
02-25-2008--02-19-2009,15,17,3,17.6470588235,-18321.67,-18.32167,-43.0707055997,1,1,7,1,14.2857142857,10,2,20
03-26-2008--03-21-2009,16,19,4,21.0526315789,-19553.32,-19.55332,-42.4099099099,1,1,7,1,14.2857142857,12,3,25
06-24-2008--06-19-2009,19,13,3,23.0769230769,-21442.14,-21.44214,-29.8422135834,1,1,3,1,33.3333333333,10,2,20
04-25-2008--04-20-2009,17,16,3,18.75,-24539.9,-24.5399,-40.2363896848,1,1,4,0,0,12,3,25
,,,,,,,,,,,,,,,
,,,,,67.4418604651,,,54.6511627907,60.4651162791,,,,,,
