Period,# of trades,winning trades,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
03/25/2012--12/20/2012,12,5,41.6666666667,10,4,40,2,1,50
11/20/2012--08/17/2013,19,8,42.1052631579,7,3,42.8571428571,12,5,41.6666666667
08/28/2011--05/24/2012,26,11,42.3076923077,21,7,33.3333333333,5,4,80
12/31/2010--09/27/2011,7,3,42.8571428571,6,3,50,1,0,0
12/20/2012--09/16/2013,28,12,42.8571428571,15,5,33.3333333333,13,7,53.8461538462
03/06/2010--12/01/2010,9,4,44.4444444444,5,4,80,4,0,0
02/18/2013--11/15/2013,29,13,44.8275862069,13,4,30.7692307692,16,9,56.25
08/13/2008--05/10/2009,13,6,46.1538461538,10,6,60,3,0,0
07/14/2008--04/10/2009,17,8,47.0588235294,16,8,50,1,0,0
03/01/2011--11/26/2011,25,12,48,17,8,47.0588235294,8,4,50
09/21/2012--06/18/2013,27,13,48.1481481481,16,10,62.5,11,3,27.2727272727
02/13/2014--11/10/2014,106,52,49.0566037736,66,35,53.0303030303,40,17,42.5
04/10/2009--01/05/2010,6,3,50,4,2,50,2,1,50
05/10/2009--02/04/2010,6,3,50,4,2,50,2,1,50
04/05/2010--12/31/2010,6,3,50,4,3,75,2,0,0
08/03/2010--04/30/2011,4,2,50,4,2,50,0,0,
03/31/2011--12/26/2011,24,12,50,17,9,52.9411764706,7,3,42.8571428571
06/29/2011--03/25/2012,10,5,50,10,5,50,0,0,
09/27/2011--06/23/2012,28,14,50,20,9,45,8,5,62.5
04/19/2013--01/14/2014,22,11,50,8,4,50,14,7,50
05/19/2013--02/13/2014,20,10,50,12,7,58.3333333333,8,3,37.5
12/10/2014--12/30/2014,6,3,50,5,3,60,1,0,0
11/10/2014--12/30/2014,21,11,52.380952381,10,7,70,11,4,36.3636363636
08/12/2014--12/30/2014,55,29,52.7272727273,29,15,51.724137931,26,14,53.8461538462
12/15/2013--09/11/2014,112,60,53.5714285714,69,45,65.2173913043,43,15,34.8837209302
08/22/2012--05/19/2013,24,13,54.1666666667,15,10,66.6666666667,9,3,33.3333333333
03/20/2013--12/15/2013,29,16,55.1724137931,15,8,53.3333333333,14,8,57.1428571429
11/15/2013--08/12/2014,108,60,55.5555555556,69,45,65.2173913043,39,15,38.4615384615
07/13/2014--12/30/2014,63,35,55.5555555556,34,20,58.8235294118,29,15,51.724137931
03/15/2014--12/10/2014,105,59,56.1904761905,68,39,57.3529411765,37,20,54.0540540541
12/11/2008--09/07/2009,7,4,57.1428571429,4,4,100,3,0,0
01/10/2009--10/07/2009,7,4,57.1428571429,4,4,100,3,0,0
02/24/2012--11/20/2012,21,12,57.1428571429,20,11,55,1,1,100
04/14/2014--12/30/2014,99,57,57.5757575758,66,39,59.0909090909,33,18,54.5454545455
10/11/2014--12/30/2014,31,18,58.064516129,19,13,68.4210526316,12,5,41.6666666667
06/18/2013--03/15/2014,36,21,58.3333333333,25,20,80,11,1,9.0909090909
06/13/2014--12/30/2014,70,41,58.5714285714,39,25,64.1025641026,31,16,51.6129032258
09/16/2013--06/13/2014,118,70,59.3220338983,84,59,70.2380952381,34,11,32.3529411765
01/14/2014--10/11/2014,106,63,59.4339622642,68,46,67.6470588235,38,17,44.7368421053
09/11/2014--12/30/2014,47,28,59.5744680851,31,20,64.5161290323,16,8,50
07/18/2013--04/14/2014,52,31,59.6153846154,31,24,77.4193548387,21,7,33.3333333333
10/16/2013--07/13/2014,114,68,59.649122807,78,55,70.5128205128,36,13,36.1111111111
05/05/2010--01/30/2011,5,3,60,5,3,60,0,0,
06/04/2010--03/01/2011,5,3,60,5,3,60,0,0,
10/02/2010--06/29/2011,15,9,60,8,6,75,7,3,42.8571428571
01/30/2011--10/27/2011,15,9,60,11,5,45.4545454545,4,4,100
12/26/2011--09/21/2012,35,21,60,27,14,51.8518518519,8,7,87.5
05/14/2014--12/30/2014,87,53,60.9195402299,55,36,65.4545454545,32,17,53.125
05/24/2012--02/18/2013,24,15,62.5,18,11,61.1111111111,6,4,66.6666666667
02/04/2010--11/01/2010,11,7,63.6363636364,8,7,87.5,3,0,0
05/30/2011--02/24/2012,11,7,63.6363636364,11,7,63.6363636364,0,0,
01/25/2012--10/21/2012,34,22,64.7058823529,26,14,53.8461538462,8,8,100
08/17/2013--05/14/2014,46,30,65.2173913043,27,22,81.4814814815,19,8,42.1052631579
01/05/2010--10/02/2010,18,12,66.6666666667,13,11,84.6153846154,5,1,20
09/07/2009--06/04/2010,22,15,68.1818181818,16,12,75,6,3,50
06/23/2012--03/20/2013,19,13,68.4210526316,13,9,69.2307692308,6,4,66.6666666667
11/01/2010--07/29/2011,13,9,69.2307692308,6,6,100,7,3,42.8571428571
12/06/2009--09/02/2010,23,16,69.5652173913,17,13,76.4705882353,6,3,50
10/07/2009--07/04/2010,17,12,70.5882352941,13,9,69.2307692308,4,3,75
07/09/2009--04/05/2010,21,15,71.4285714286,15,11,73.3333333333,6,4,66.6666666667
07/04/2010--03/31/2011,14,10,71.4285714286,10,6,60,4,4,100
12/01/2010--08/28/2011,11,8,72.7272727273,5,5,100,6,3,50
11/06/2009--08/03/2010,15,11,73.3333333333,11,8,72.7272727273,4,3,75
07/23/2012--04/19/2013,14,11,78.5714285714,7,7,100,7,4,57.1428571429
04/15/2008--01/10/2009,10,8,80,9,8,88.8888888889,1,0,0
