Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Intra-Day-Exit-PorL,Intra-Day-Exit-Date,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
UNP,SHORT,2010-01-29,27.80,857,74561.87,74561.87,74849.25,74849.25,0.0,2010-01-29,-419.93,2010-01-29,2010-02-01,28.29,74849.25,74849.25,74141.94,74141.94,-419.93,[]
WHR,LONG,2010-02-19,75.90,126,74141.94,74141.94,74154.11,55034.04,9.52043409818,2010-02-19,2010-02-23,74.97,74131.96,55034.04,73974.13,64479.91,-117.53,['GD']
GD,LONG,2010-02-19,63.63,150,74141.94,74141.94,74197.44,64597.44,120.276813213,2010-02-19,2010-02-23,63.70,74131.96,55034.04,74034.91,74034.91,10.50,[]
MA,LONG,2010-03-08,23.62,806,74034.91,74034.91,74478.71,54997.19,560.394501745,2010-03-08,2010-03-11,24.26,74795.19,54997.19,74550.75,74550.75,515.84,[]
NFLX,LONG,2010-04-06,80.42,243,74550.75,74550.75,75267.60,55008.69,486.0,2010-04-06,2010-04-07,82.08,75267.60,55008.69,74955.34,74955.34,404.59,[]
GOOGL,LONG,2010-04-14,295.03,67,74955.34,74955.34,74919.83,55188.33,76.38,2010-04-14,2010-04-16,281.50,75130.88,55188.33,74048.83,74048.83,-906.51,[]
MA,SHORT,2010-05-03,24.20,787,74048.83,74048.83,73663.25,73663.25,-417.11,2010-05-03,2010-05-04,24.95,73663.25,73663.25,73459.44,73459.44,-589.39,[]
AMZN,SHORT,2010-05-05,128.00,113,73459.44,73459.44,73128.35,73128.35,-226.0,2010-05-05,2010-05-06,131.43,73128.35,73128.35,73071.85,73071.85,-387.59,[]
WHR,SHORT,2010-05-21,82.95,163,73071.85,73071.85,72049.88,72049.88,-326.0,2010-05-21,2010-05-24,89.49,72049.88,72049.88,72005.49,72005.49,-1066.36,[]
WHR,SHORT,2010-06-30,80.01,147,72005.49,72005.49,72137.73,72137.73,0.0,2010-06-30,-179.34,2010-06-30,2010-07-02,78.04,72464.81,72464.81,72295.31,72295.31,289.82,[]
GOOGL,SHORT,2010-08-20,233.53,48,72295.31,72295.31,72416.27,72416.27,-96.0,2010-08-20,2010-08-23,231.53,72416.27,72416.27,72391.31,72391.31,96.00,[]
AMZN,LONG,2010-09-02,132.80,84,72391.31,72391.31,72593.75,61236.11,168.0,2010-09-02,2010-09-20,147.82,73695.41,61236.11,73668.77,73160.49,1261.68,['GOOGL']
GOOGL,LONG,2010-09-20,246.25,2,73695.41,61236.11,73961.50,60743.61,4.0,2010-09-20,2010-09-28,264.11,73690.90,73160.49,73688.71,73688.71,35.72,[]
NFLX,LONG,2010-10-27,179.76,69,73688.71,73688.71,73601.77,61285.27,138.0,2010-10-27,2010-10-28,178.00,73601.77,61285.27,73567.27,73567.27,-121.44,[]
AMZN,LONG,2010-11-26,178.09,69,73567.27,73567.27,73505.86,61279.06,20.01,2010-11-26,2010-11-30,176.95,73663.87,61279.06,73488.61,73488.61,-78.66,[]
UNP,LONG,2011-01-10,44.26,277,73488.61,73488.61,73685.66,61228.00,281.500177108,2011-01-10,2011-01-18,45.44,73852.01,61228.00,73814.88,73814.88,326.27,[]
NFLX,LONG,2011-03-24,231.98,54,73814.88,73814.88,73660.98,61287.96,61.5546,2011-03-24,2011-03-25,226.96,73660.98,61287.96,73543.80,73543.80,-271.08,[]
GOOGL,SHORT,2011-05-17,257.71,47,73543.80,73543.80,73190.60,73190.60,-94.0,2011-05-17,2011-05-19,266.37,73205.87,73205.87,73137.25,73137.25,-406.55,[]
CF,LONG,2011-05-24,141.78,82,73137.25,73137.25,73010.61,61511.29,73.4526898659,2011-05-24,2011-05-26,143.78,73359.01,61511.29,73301.25,73301.25,164.00,[]
AMZN,LONG,2011-06-28,202.78,58,73301.25,73301.25,73276.31,61540.01,5.8,2011-06-28,2011-06-29,201.29,73276.31,61540.01,73211.95,72598.42,-86.42,['AGN']
AGN,LONG,2011-06-29,68.49,9,73276.31,61540.01,73379.57,60923.60,4.32,2011-06-29,2011-07-07,69.93,73255.91,61648.96,73483.63,62278.33,12.96,['GOOGL']
GOOGL,LONG,2011-07-06,267.06,41,73230.94,72598.42,73255.91,61648.96,82.0,2011-07-06,2011-07-08,266.48,73483.63,62278.33,73203.81,73203.81,-23.99,[]
CF,SHORT,2011-08-05,134.98,43,73203.81,73203.81,72973.29,72973.29,-86.0,2011-08-05,2011-08-09,135.09,73577.28,73577.28,73297.60,73297.60,-4.62,['CVS']
CVS,SHORT,2011-08-05,32.20,182,73203.81,73203.81,72912.18,72912.18,0.0,2011-08-05,0.0,2011-08-05,89.18,2011-08-08,2011-08-11,31.31,73500.47,73500.47,73361.17,73361.17,161.98,[]
AMZN,LONG,2011-09-01,216.34,49,73361.17,73361.17,73174.97,62760.51,63.7,2011-09-01,2011-09-02,208.94,73174.97,62760.51,72998.57,72998.57,-362.60,[]
MA,LONG,2011-09-16,34.55,301,72998.57,72998.57,72912.94,62597.66,64.5169708753,2011-09-16,2011-09-19,33.74,72912.94,62597.66,72752.39,72752.39,-246.18,[]
UNP,SHORT,2011-09-22,37.89,131,72752.39,72752.39,72657.29,72657.29,0.0,2011-09-22,-113.087920332,2011-09-22,2011-09-23,38.75,72575.69,72575.69,72124.93,72124.93,-113.09,['VIAB', 'VRX', 'ODFL']
VRX,SHORT,2011-09-22,35.85,136,72752.39,72752.39,72575.69,72575.69,0.0,2011-09-22,-106.08,2011-09-22,2011-09-23,36.63,72575.69,72575.69,72337.09,72337.09,-106.08,['VIAB', 'ODFL']
ODFL,SHORT,2011-09-23,18.68,232,72575.69,72575.69,72101.80,72101.80,-95.12,2011-09-23,2011-09-26,19.65,72337.09,72337.09,72301.33,72301.33,-225.81,['VIAB']
VIAB,SHORT,2011-09-23,38.18,113,72575.69,72575.69,72281.21,72281.21,0.0,2011-09-23,0.0,2011-09-23,2011-09-26,38.85,72337.09,72337.09,72231.70,72231.70,-75.71,[]
UNH,SHORT,2011-10-04,40.06,163,72231.70,72231.70,72127.81,72127.81,0.0,2011-10-04,0.0,2011-10-04,2011-10-05,41.42,72127.81,72127.81,71845.96,71845.96,-221.74,['AAPL']
AAPL,SHORT,2011-10-05,49.73,114,72127.81,72127.81,71704.86,71704.86,-126.54,2011-10-05,2011-10-06,51.25,71845.96,71845.96,71836.69,71836.69,-173.28,[]
CP,LONG,2011-10-19,53.70,90,71836.69,71836.69,71828.55,67003.69,46.4269426904,2011-10-19,2011-10-25,55.70,72162.85,67003.69,72016.69,72016.69,180.00,[]
MA,LONG,2011-12-02,37.92,133,72016.69,72016.69,71946.76,66973.57,16.9549670429,2011-12-02,2011-12-05,37.33,71946.76,66973.57,71938.46,71938.46,-78.23,[]
NFLX,LONG,2012-01-05,81.17,61,71938.46,71938.46,71824.39,66987.09,42.09,2012-01-05,2012-01-06,79.00,71824.39,66987.09,71806.09,71806.09,-132.37,[]
URI,LONG,2012-01-19,35.23,137,71806.09,71806.09,71732.11,66979.58,24.66,2012-01-19,2012-01-20,34.52,71732.11,66979.58,71708.82,71708.82,-97.27,[]
V,LONG,2012-02-03,104.35,45,71708.82,71708.82,71719.37,67013.06,45.2910833056,2012-02-03,2012-02-07,104.01,71733.88,67013.06,71693.51,71693.51,-15.31,[]
NFLX,LONG,2012-03-22,121.09,19,71693.51,71693.51,71700.51,67065.04,38.0,2012-03-22,2012-03-23,118.23,71700.51,67065.04,71659.69,69311.41,-54.34,['AGN']
AGN,LONG,2012-03-22,64.66,36,71693.51,71693.51,71745.35,69365.75,72.0,2012-03-22,2012-03-28,65.69,71710.45,69311.41,71676.25,71676.25,37.08,[]
UNH,LONG,2012-03-30,56.02,84,71676.25,71676.25,71709.91,66970.57,73.0685909107,2012-03-30,2012-04-04,56.21,71746.90,66970.57,71692.21,71692.21,15.96,[]
FDX,SHORT,2012-04-10,86.80,54,71692.21,71692.21,71771.30,71771.30,0.0,2012-04-10,0.0,2012-04-10,2012-04-11,87.13,71771.30,71771.30,71753.15,71753.15,-17.82,['NFLX']
NFLX,SHORT,2012-04-11,101.60,44,71771.30,71771.30,71781.97,71781.97,-88.0,2012-04-11,2012-04-12,103.54,71753.15,71753.15,71589.03,71589.03,-85.36,[]
AAPL,SHORT,2012-04-17,78.20,52,71589.03,71589.03,71366.54,71366.54,-84.76,2012-04-17,2012-04-18,83.02,71366.54,71366.54,71338.26,71338.26,-250.76,[]
URI,SHORT,2012-05-16,38.64,94,71338.26,71338.26,71400.30,71400.30,0.0,2012-05-16,-82.72,2012-05-16,2012-05-22,36.64,71593.94,71593.94,71526.26,71526.26,188.00,[]
CF,LONG,2012-06-20,174.94,19,71526.26,71526.26,71495.97,68202.40,6.0436228516,2012-06-20,2012-06-21,172.86,71495.97,68202.40,71486.74,71486.74,-39.52,[]
NFLX,LONG,2012-07-05,74.33,45,71486.74,71486.74,71819.29,68141.89,90.0,2012-07-05,2012-07-11,79.93,71752.24,68141.89,71738.74,71738.74,252.00,[]
GOOGL,LONG,2012-07-20,304.38,11,71738.74,71738.74,71750.07,68390.56,22.0,2012-07-20,2012-07-23,300.24,71750.07,68390.56,71693.20,71693.20,-45.54,[]
AMZN,LONG,2012-08-27,247.07,14,71693.20,71693.20,71649.10,68234.22,6.02,2012-08-27,2012-08-28,243.29,71649.10,68234.22,71640.28,71640.28,-52.92,[]
MA,LONG,2012-09-07,42.86,80,71640.28,71640.28,71666.50,68211.79,30.8880539284,2012-09-07,2012-09-14,44.86,71817.46,68211.79,71800.59,71800.59,160.31,[]
AAPL,SHORT,2012-10-08,87.67,41,71800.59,71800.59,71840.42,71840.42,0.0,2012-10-08,-12.3,2012-10-08,2012-10-10,86.91,71853.35,71853.35,71831.68,71831.68,31.09,[]
UNP,SHORT,2012-11-15,55.98,30,71831.68,71831.68,71817.00,71817.00,0.0,2012-11-15,-21.9,2012-11-15,2012-11-16,56.71,71820.99,71820.99,71821.87,71821.87,-21.90,['FDX']
FDX,SHORT,2012-11-15,85.72,20,71831.68,71831.68,71820.99,71820.99,0.0,2012-11-15,-13.4,2012-11-15,2012-11-19,86.02,71821.87,71821.87,71803.69,71803.69,-6.09,[]
CP,LONG,2012-12-06,96.40,32,71803.69,71803.69,71858.21,68718.81,64.0,2012-12-06,2012-12-11,98.40,71886.41,68718.81,71867.61,71867.61,63.92,[]
NFLX,LONG,2012-12-13,92.14,34,71867.61,71867.61,71881.89,68734.85,40.086,2012-12-13,2012-12-17,92.37,71907.05,68734.85,71875.43,71875.43,7.82,[]
WHR,LONG,2013-01-03,103.50,31,71875.43,71875.43,71860.17,68666.93,15.8075477112,2013-01-03,2013-01-04,102.53,71860.17,68666.93,71845.36,71845.36,-30.07,[]
AMZN,LONG,2013-03-05,274.00,5,71845.36,71845.36,71867.82,69231.96,10.0,2013-03-05,2013-03-06,273.38,71867.82,69231.96,71845.93,70598.86,-3.10,['GOOGL']
