Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,,Strategy,Current-Pos,,,,,,,
HK_0914,SHORT,2008-06-05,66.18,149,No-Exit,0,0,2008-06-05,65.51,99.61,2008-07-10,53.36,1910.18,99.61,1910.18,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0941'],,,,,,
HK_0914,SHORT,2008-07-16,49.8,209,No-Exit,0,0,2008-07-16,49.3,104.08,2008-07-17,51.32,-317.68,104.08,104.08,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0941', 'HK_0700'],,,,,
HK_0700,SHORT,2008-07-15,60.98,173,No-Exit,0,0,2008-07-15,60.37,106.05,2008-07-18,63,-349.46,106.05,106.05,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0941'],,,,,,
HK_0700,SHORT,2008-08-13,64,161,No-Exit,0,0,No-Exit,0,0,2008-08-14,67.5,-563.5,-563.5,-563.5,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_0941'],,,,,
HK_2338,SHORT,2008-08-11,35.05,298,No-Exit,0,0,2008-08-11,34.69,106.09,2008-08-15,36.24,-354.62,106.09,106.09,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0941'],,,,,,
HK_0941,SHORT,2008-05-21,128.5,69,No-Exit,0,0,2008-05-23,127.2,89.98,2008-08-20,90.8,2601.3,89.98,2601.3,BB 20 SMA Xover Mtm,['HK_0683'],,,,,,,
HK_0700,SHORT,2008-09-05,60,166,No-Exit,0,0,2008-09-05,59.4,99.6,2008-09-19,63,-498,99.6,99.6,BB 20 SMA Xover Mtm,['HK_0683'],,,,,,,
HK_0683,SHORT,2008-08-14,37.55,270,2008-08-14,39.74,-591.3,No-Exit,0,0,2008-10-21,22.95,3942,-591.3,3942,BB 20 SMA Xover Mtm,['HK_0683'],,,,,,,
HK_0700,SHORT,2008-10-23,47.05,228,No-Exit,0,0,2008-10-23,46.58,107.27,2008-10-29,49.05,-456,107.27,107.27,BB 20 SMA Xover Mtm,['HK_0683'],,,,,,,
HK_0700,SHORT,2008-11-07,46,231,2008-11-07,50.51,-1041.81,No-Exit,0,0,2008-11-10,54.9,-2055.9,-1041.81,-1041.81,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0941'],,,,,,
