Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos,,,
AMZN,SHORT,2011-08-03,209.58,1100,No-Exit,0,0,2011-08-10,200.76,9702,9702,BB 20 SMA Xover Mtm,['AAPL'],,,
PCLN,SHORT,2012-05-09,708.74,197,No-Exit,0,0,2012-05-22,659.53,9694.37,9694.37,BB 20 SMA Xover Mtm,['DISCA'],,,
AAPL,LONG,2011-06-28,47.91,4624,No-Exit,0,0,2011-07-12,49.96,9479.2,9479.2,BB 20 SMA Xover Mtm,[],,,
PCLN,SHORT,2014-03-14,1286.73,107,No-Exit,0,0,2014-03-31,1205.46,8695.89,8695.89,BB 20 SMA Xover Mtm,['CMG', 'EQT', 'AMZN'],
AAPL,SHORT,2012-09-26,95.26,2592,No-Exit,0,0,2012-10-11,92.36,7524.21,7524.21,BB 20 SMA Xover Mtm,['AMZN'],,,
FFIV,SHORT,2013-06-04,78.37,2712,No-Exit,0,0,2013-06-18,75.66,7349.52,7349.52,BB 20 SMA Xover Mtm,['AXP', 'VLO', 'AAPL'],
AAPL,SHORT,2013-05-16,60.46,2561,No-Exit,0,0,2013-07-01,57.6,7331.78,7331.78,BB 20 SMA Xover Mtm,[],,,
CRM,LONG,2014-05-13,53.96,2386,No-Exit,0,0,2014-06-20,57.01,7277.3,7277.3,BB 20 SMA Xover Mtm,[],,,
PCLN,SHORT,2010-01-07,216.89,1132,No-Exit,0,0,2010-01-20,210.86,6825.96,6825.96,BB 20 SMA Xover Mtm,[],,,
RIG,LONG,2009-01-05,52.53,4029,No-Exit,0,0,2009-01-08,54.22,6809.01,6809.01,BB 20 SMA Xover Mtm,['AAPL'],,,
BEN,SHORT-SPY-NULL,2007-10-29,43.55,1879,No-Exit,0,0,2007-11-12,40.07,6538.92,0,BB 20 SMA Xover Mtm,['AAPL', 'MMM', 'FTI'],
QCOM,LONG,2012-07-19,58.85,1605,No-Exit,0,0,2012-08-21,62.27,5489.1,5489.1,BB 20 SMA Xover Mtm,['NFLX', 'CRM'],,
GD,LONG,2013-04-25,72.45,1083,No-Exit,0,0,2013-05-22,77.36,5317.53,5317.53,BB 20 SMA Xover Mtm,['AAPL'],,,
TAP,LONG,2008-02-13,50.16,3024,No-Exit,0,0,2008-02-22,51.86,5140.8,5140.8,BB 20 SMA Xover Mtm,[],,,
MMM,SHORT,2007-10-22,85.35,1115,No-Exit,0,0,2007-11-13,80.78,5095.55,5095.55,BB 20 SMA Xover Mtm,['AAPL', 'FTI'],,
CRM,SHORT,2011-11-18,29.86,1973,No-Exit,0,0,2011-11-28,27.28,5090.34,5090.34,BB 20 SMA Xover Mtm,['PCLN'],,,
FTI,SHORT-SPY-NULL,2007-10-31,29.75,2518,No-Exit,0,0,2007-11-15,27.75,5036,0,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2009-01-23,12.75,16003,No-Exit,0,0,2009-01-30,13.03,4480.84,4480.84,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2010-05-17,35.9,7682,No-Exit,0,0,2010-05-24,35.33,4411.66,4411.66,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2007-11-29,26,4289,No-Exit,0,0,2007-12-11,26.94,4031.66,4031.66,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2011-03-10,49.85,4371,No-Exit,0,0,2011-03-22,48.94,3990.1,3990.1,BB 20 SMA Xover Mtm,[],,,
AMZN,SHORT,2008-01-07,87.9,519,No-Exit,0,0,2008-01-17,81.29,3430.59,3430.59,BB 20 SMA Xover Mtm,['VLO', 'AAPL'],,
AET,LONG,2008-04-24,44.35,4170,No-Exit,0,0,2008-05-28,45.15,3336,3336,BB 20 SMA Xover Mtm,[],,,
BWA,LONG,2011-02-08,35.59,857,No-Exit,0,0,2011-02-22,39.48,3333.73,3333.73,BB 20 SMA Xover Mtm,[],,,
PCLN,SHORT,2011-11-18,508.27,121,No-Exit,0,0,2011-11-28,482.65,3100.02,3100.02,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2009-12-01,28.27,7951,2009-12-01,28.94,-5327.17,2009-12-09,27.89,3021.38,-5327.17,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2008-06-10,25.68,6460,No-Exit,0,0,2008-06-25,25.22,2971.6,2971.6,BB 20 SMA Xover Mtm,[],,,
CRM,LONG,2012-08-07,33.51,964,No-Exit,0,0,2012-08-22,36.44,2824.52,2824.52,BB 20 SMA Xover Mtm,['NFLX'],,,
DISCA,SHORT,2012-05-09,50.29,2788,No-Exit,0,0,2012-06-06,49.3,2760.12,2760.12,BB 20 SMA Xover Mtm,[],,,
FFIV,SHORT,2007-10-25,36.02,2228,No-Exit,0,0,2007-10-31,34.79,2740.44,2740.44,BB 20 SMA Xover Mtm,['MMM', 'FTI', 'BEN'],
CMG,LONG,2010-07-26,146.96,1935,No-Exit,0,0,2010-08-06,148.29,2573.55,2573.55,BB 20 SMA Xover Mtm,['RIG'],,,
AAPL,SHORT,2011-09-30,55.24,2136,No-Exit,0,0,2011-10-06,54.04,2563.2,2563.2,BB 20 SMA Xover Mtm,[],,,
CMG,SHORT-SPY-NULL,2014-03-26,564.97,247,No-Exit,0,0,2014-04-09,555.36,2373.67,0,BB 20 SMA Xover Mtm,['AAPL'],,,
PCLN,LONG,2011-08-29,510,233,No-Exit,0,0,2011-09-02,519.96,2320.68,2320.68,BB 20 SMA Xover Mtm,['AAPL', 'QCOM'],,
VLO,SHORT,2008-06-09,45.87,4010,No-Exit,0,0,2008-06-12,45.3,2285.7,2285.7,BB 20 SMA Xover Mtm,['AAPL'],,,
HUM,LONG,2013-03-28,69.41,190,No-Exit,0,0,2013-04-05,78.38,1704.3,1704.3,BB 20 SMA Xover Mtm,['THC'],,,
BRCM,LONG,2013-04-25,35.44,2240,No-Exit,0,0,2013-05-14,36.12,1523.2,1523.2,BB 20 SMA Xover Mtm,['GD'],,,
AMZN,LONG,2014-05-22,308.06,63,No-Exit,0,0,2014-06-13,327.05,1196.37,1196.37,BB 20 SMA Xover Mtm,['CRM'],,,
RIG,LONG,2010-08-03,51.19,278,No-Exit,0,0,2010-08-11,55.22,1120.34,1120.34,BB 20 SMA Xover Mtm,[],,,
NFLX,LONG,2012-08-16,63.89,1881,No-Exit,0,0,2012-08-23,64.48,1109.79,1109.79,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2013-09-11,66.72,4219,No-Exit,0,0,2013-09-18,66.5,910.16,910.16,BB 20 SMA Xover Mtm,[],,,
QCOM,LONG,2010-03-04,39.08,331,No-Exit,0,0,2010-03-29,41.77,890.39,890.39,BB 20 SMA Xover Mtm,['FSLR'],,,
FFIV,LONG,2011-02-07,124.88,1547,No-Exit,0,0,2011-02-16,125.35,727.09,727.09,BB 20 SMA Xover Mtm,['BWA', 'AMZN'],,
QCOM,SHORT,2008-03-04,40.71,3822,No-Exit,0,0,2008-03-12,40.52,726.18,726.18,BB 20 SMA Xover Mtm,['AAPL'],,,
VLO,LONG,2007-10-09,71.48,1329,No-Exit,0,0,2007-10-17,72.02,717.66,717.66,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2013-04-30,62.16,255,No-Exit,0,0,2013-05-10,64.91,701.98,701.98,BB 20 SMA Xover Mtm,['GD', 'BRCM'],,
AMZN,LONG,2014-11-11,308.16,28,No-Exit,0,0,2014-12-01,330.23,617.96,617.96,BB 20 SMA Xover Mtm,['PCLN'],,,
TSN,SHORT-SPY-NULL,2014-07-30,38.78,381,No-Exit,0,0,2014-08-12,37.3,563.88,0,BB 20 SMA Xover Mtm,[],,,
NFLX,LONG,2012-03-20,115.47,103,No-Exit,0,0,2012-03-28,120.25,492.34,492.34,BB 20 SMA Xover Mtm,['AGN'],,,
FFIV,LONG,2012-01-10,111.99,95,No-Exit,0,0,2012-01-27,117,475.96,475.96,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2009-12-22,28.6,370,No-Exit,0,0,2009-12-30,29.83,456.16,456.16,BB 20 SMA Xover Mtm,['FDX'],,,
CMG,LONG,2011-05-12,277.04,40,No-Exit,0,0,2011-06-01,288.09,442,442,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2008-11-07,14.02,1149,No-Exit,0,0,2008-11-13,13.68,390.66,390.66,BB 20 SMA Xover Mtm,['TAP'],,,
QCOM,LONG,2011-08-30,51.43,221,No-Exit,0,0,2011-09-19,53.06,360.23,360.23,BB 20 SMA Xover Mtm,[],,,
NFLX,SHORT-SPY-NULL,2012-08-31,59.88,107,No-Exit,0,0,2012-09-07,56.68,342.4,0,BB 20 SMA Xover Mtm,['PCLN'],,,
FSLR,LONG,2010-06-16,118.44,87,No-Exit,0,0,2010-06-21,122.22,328.86,328.86,BB 20 SMA Xover Mtm,['AAPL', 'PCLN', 'RIG'],
AAPL,LONG,2013-03-18,64.01,211,No-Exit,0,0,2013-03-27,65.21,252.9,252.9,BB 20 SMA Xover Mtm,['NFLX', 'CRM'],,
GD,SHORT,2009-01-14,54.48,1906,No-Exit,0,0,2009-01-26,54.42,114.36,114.36,BB 20 SMA Xover Mtm,['AAPL'],,,
THC,SHORT,2013-04-04,43.65,27,No-Exit,0,0,2013-04-23,40.44,86.67,86.67,BB 20 SMA Xover Mtm,['PCLN'],,,
AAPL,LONG,2014-02-11,76.33,174,No-Exit,0,0,2014-02-19,76.72,67.86,67.86,BB 20 SMA Xover Mtm,['PCLN'],,,
MSI,LONG,2014-05-05,66.17,105,No-Exit,0,0,2014-05-15,66.69,54.6,54.6,BB 20 SMA Xover Mtm,['NFLX', 'CRM'],,
CRM,LONG,2012-01-11,26.46,19,No-Exit,0,0,2012-01-27,28.81,44.7,44.7,BB 20 SMA Xover Mtm,['FFIV'],,,
AMZN,LONG,2011-02-09,184.89,8,No-Exit,0,0,2011-02-16,187.35,19.68,19.68,BB 20 SMA Xover Mtm,['BWA'],,,
AAPL,SHORT,2008-05-22,25.2,11,No-Exit,0,0,2008-05-28,26.82,-17.82,-17.82,BB 20 SMA Xover Mtm,['AET'],,,
