Ticker,Details,Date,Open,High,Low,Close,Volume
CP,Canadian Pacific Railway Limit @ NYSE,11/28/2007,56.73,59.44,56.58,58.6,700500
CP,Canadian Pacific Railway Limit @ NYSE,11/29/2007,57.94,58.2,56.72,58.18,515725
CP,Canadian Pacific Railway Limit @ NYSE,11/30/2007,59.11,60.12,58.36,59.75,543000
CP,Canadian Pacific Railway Limit @ NYSE,12/03/2007,58.2,59.11,57.16,57.19,501100
CP,Canadian Pacific Railway Limit @ NYSE,12/04/2007,56.79,57.14,55.18,56.44,528100
CP,Canadian Pacific Railway Limit @ NYSE,12/05/2007,57.13,59.64,56.7,58.73,749800
CP,Canadian Pacific Railway Limit @ NYSE,12/06/2007,58.78,59.99,58.54,59.82,402500
CP,Canadian Pacific Railway Limit @ NYSE,12/07/2007,60.42,61.33,59.9,60.44,407900
CP,Canadian Pacific Railway Limit @ NYSE,12/10/2007,60.04,60.74,59.61,60.61,329300
CP,Canadian Pacific Railway Limit @ NYSE,12/11/2007,59.87,61.28,59.2,59.28,618900
CP,Canadian Pacific Railway Limit @ NYSE,12/12/2007,60.62,60.62,57.94,58.33,804600
CP,Canadian Pacific Railway Limit @ NYSE,12/13/2007,58.15,58.17,56.51,57.38,741700
CP,Canadian Pacific Railway Limit @ NYSE,12/14/2007,57.04,57.57,56.37,57.18,433400
CP,Canadian Pacific Railway Limit @ NYSE,12/17/2007,57.21,58.12,56.93,57.37,532300
CP,Canadian Pacific Railway Limit @ NYSE,12/18/2007,57.39,57.67,56.13,57.11,577100
CP,Canadian Pacific Railway Limit @ NYSE,12/19/2007,56.52,58.35,56.28,57.06,679400
CP,Canadian Pacific Railway Limit @ NYSE,12/20/2007,57.86,57.86,55.96,57.05,278300
CP,Canadian Pacific Railway Limit @ NYSE,12/21/2007,57.14,57.88,56.61,57.61,359000
CP,Canadian Pacific Railway Limit @ NYSE,12/24/2007,58.09,59.58,58.06,59.31,103500
CP,Canadian Pacific Railway Limit @ NYSE,12/26/2007,58.97,59.27,58.46,58.7,207900
CP,Canadian Pacific Railway Limit @ NYSE,12/27/2007,58.51,59.68,58.4,58.99,297400
CP,Canadian Pacific Railway Limit @ NYSE,12/28/2007,59.69,59.69,59.06,59.25,180300
CP,Canadian Pacific Railway Limit @ NYSE,12/31/2007,59.06,59.16,57.88,57.92,159000
CP,Canadian Pacific Railway Limit @ NYSE,01/02/2008,58.21,58.63,57.34,57.75,307600
CP,Canadian Pacific Railway Limit @ NYSE,01/03/2008,57.88,58.38,57.71,57.87,271900
CP,Canadian Pacific Railway Limit @ NYSE,01/04/2008,57.62,57.88,56.25,56.74,428100
CP,Canadian Pacific Railway Limit @ NYSE,01/07/2008,57.09,57.54,56.05,56.4,478900
CP,Canadian Pacific Railway Limit @ NYSE,01/08/2008,56.57,56.77,55.01,55.1,430400
CP,Canadian Pacific Railway Limit @ NYSE,01/09/2008,54.75,55.46,53.51,54.76,524000
CP,Canadian Pacific Railway Limit @ NYSE,01/10/2008,54.2,55.64,53.98,55.13,456500
CP,Canadian Pacific Railway Limit @ NYSE,01/11/2008,54.24,55,54.23,54.5,526700
CP,Canadian Pacific Railway Limit @ NYSE,01/14/2008,55.48,56.22,54.71,56.04,390000
CP,Canadian Pacific Railway Limit @ NYSE,01/15/2008,55.35,56.25,55.02,55.29,516000
CP,Canadian Pacific Railway Limit @ NYSE,01/16/2008,54.85,55.81,54.57,54.93,488500
CP,Canadian Pacific Railway Limit @ NYSE,01/17/2008,55.36,56.3,54.1,54.32,541100
CP,Canadian Pacific Railway Limit @ NYSE,01/18/2008,54.22,54.96,52.19,52.19,872100
CP,Canadian Pacific Railway Limit @ NYSE,01/22/2008,50.1,53.46,49.61,52.89,743900
CP,Canadian Pacific Railway Limit @ NYSE,01/23/2008,52.12,56.02,52.12,55.82,805500
CP,Canadian Pacific Railway Limit @ NYSE,01/24/2008,57.44,58.12,56.4,56.84,602800
CP,Canadian Pacific Railway Limit @ NYSE,01/25/2008,58.24,58.39,55.77,56.39,589400
CP,Canadian Pacific Railway Limit @ NYSE,01/28/2008,56.29,57.86,55.09,57.41,485400
CP,Canadian Pacific Railway Limit @ NYSE,01/29/2008,58.97,62.06,58.63,60.45,966600
CP,Canadian Pacific Railway Limit @ NYSE,01/30/2008,58.42,60.38,58.37,58.83,520700
CP,Canadian Pacific Railway Limit @ NYSE,01/31/2008,58.13,60.35,56.63,59.47,769200
CP,Canadian Pacific Railway Limit @ NYSE,02/01/2008,60.47,62.6,60.03,62.39,569700
CP,Canadian Pacific Railway Limit @ NYSE,02/04/2008,62.28,63.34,62.12,62.77,866100
CP,Canadian Pacific Railway Limit @ NYSE,02/05/2008,61.85,62.5,60.95,61.03,580900
CP,Canadian Pacific Railway Limit @ NYSE,02/06/2008,61.56,62.22,60.87,61.11,596900
CP,Canadian Pacific Railway Limit @ NYSE,02/07/2008,60.26,62.34,59.93,61.33,547900
CP,Canadian Pacific Railway Limit @ NYSE,02/08/2008,61.83,63.37,61.47,62.26,561100
CP,Canadian Pacific Railway Limit @ NYSE,02/11/2008,62.14,63.11,61.77,62.71,590600
CP,Canadian Pacific Railway Limit @ NYSE,02/12/2008,63.17,63.42,62.05,62.42,457200
CP,Canadian Pacific Railway Limit @ NYSE,02/13/2008,62.92,63.08,61.94,62.65,497400
CP,Canadian Pacific Railway Limit @ NYSE,02/14/2008,63.37,63.37,61.82,62.17,593300
CP,Canadian Pacific Railway Limit @ NYSE,02/15/2008,61.84,62.17,60.93,61.99,352300
CP,Canadian Pacific Railway Limit @ NYSE,02/19/2008,62.48,63.57,62.2,63.18,694300
CP,Canadian Pacific Railway Limit @ NYSE,02/20/2008,62.45,65.06,62.33,64.78,834300
CP,Canadian Pacific Railway Limit @ NYSE,02/21/2008,64.57,65.06,63.58,63.93,535700
CP,Canadian Pacific Railway Limit @ NYSE,02/22/2008,63.72,63.93,61.96,62.94,620200
CP,Canadian Pacific Railway Limit @ NYSE,02/25/2008,63.43,65.87,62.93,65.64,854200
CP,Canadian Pacific Railway Limit @ NYSE,02/26/2008,65.45,67.81,65.45,67.45,752800
CP,Canadian Pacific Railway Limit @ NYSE,02/27/2008,67.07,68.26,66.96,67.33,710900
CP,Canadian Pacific Railway Limit @ NYSE,02/28/2008,66.86,67.66,66.53,67.36,521900
CP,Canadian Pacific Railway Limit @ NYSE,02/29/2008,67.35,67.38,65.07,65.58,639200
