Ticker,Cal_Date,Flag
ODFL,"April 27, 2011",
ODFL,"July 28, 2011",
ODFL,"October 27, 2011",
ODFL,"February 02, 2012",
ODFL,"April 26, 2012",
ODFL,"August 02, 2012",
ODFL,"October 25, 2012",
ODFL,"February 07, 2013",
ODFL,"April 25, 2013",
ODFL,"July 25, 2013",
ODFL,"October 24, 2013",
ODFL,"February 06, 2014",
ODFL,"April 24, 2014",
ODFL,"July 31, 2014",
ODFL,"October 30, 2014",
ODFL,"February 05, 2015",
ODFL,"April 30, 2015",
ODFL,"July 30, 2015",
ODFL,"July 28, 2010",
ODFL,"April 28, 2010",
ODFL,"October 22, 2009",
ODFL,"January 28, 2010",
ODFL,"July 22, 2009",
ODFL,"October 27, 2010",
GD,"January 26, 2011",
GD,"April 27, 2011",
GD,"July 27, 2011",
GD,"October 26, 2011",
GD,"January 25, 2012",
GD,"April 25, 2012",
GD,"July 25, 2012",
GD,"October 24, 2012",
GD,"January 23, 2013",
GD,"April 24, 2013",
GD,"July 24, 2013",
GD,"October 23, 2013",
GD,"January 22, 2014",
GD,"April 23, 2014",
GD,"July 23, 2014",
GD,"October 22, 2014",
GD,"January 28, 2015",
GD,"April 29, 2015",
GD,"April 28, 2010",
GD,"October 28, 2009",
GD,"July 29, 2009",
GD,"January 27, 2010",
GD,"July 28, 2010",
GD,"July 22, 2015",
GD,"October 27, 2010",
ALL,"February 09, 2011",
ALL,"April 27, 2011",
ALL,"August 01, 2011",
ALL,"October 31, 2011",
ALL,"February 01, 2012",
ALL,"May 02, 2012",
ALL,"July 31, 2012",
ALL,"October 31, 2012",
ALL,"February 06, 2013",
ALL,"May 01, 2013",
ALL,"July 31, 2013",
ALL,"October 30, 2013",
ALL,"February 05, 2014",
ALL,"May 06, 2014",
ALL,"July 30, 2014",
ALL,"October 29, 2014",
ALL,"February 04, 2015",
ALL,"May 05, 2015",
ALL,"July 29, 2015",
ALL,"October 27, 2010",
ALL,"August 05, 2009",
ALL,"February 10, 2010",
ALL,"November 04, 2009",
ALL,"April 29, 2010",
ALL,"May 07, 2009",
ALL,"August 04, 2010",
V,"February 02, 2011",
V,"May 05, 2011",
V,"July 27, 2011",
V,"October 26, 2011",
V,"February 08, 2012",
V,"May 02, 2012",
V,"July 25, 2012",
V,"October 31, 2012",
V,"February 06, 2013",
V,"May 01, 2013",
V,"July 24, 2013",
V,"October 30, 2013",
V,"January 30, 2014",
V,"April 24, 2014",
V,"July 24, 2014",
V,"October 29, 2014",
V,"January 29, 2015",
V,"April 30, 2015",
V,"July 23, 2015",
V,"October 27, 2009",
V,"July 28, 2010",
V,"April 28, 2010",
V,"October 27, 2010",
V,"July 29, 2009",
V,"February 03, 2010",
