Company,Stock Symbol
ARMOUR RESIDENTIAL REIT ARR,ARR
ARRIS GROUP INC ARRS,ARRS
ARRAY BIOPHARMA INC ARRY,ARRY
ARTIO GLOBAL INVESTORS ART,ART
ARTHROCARE CORP ARTC,ARTC
ARTESIAN RESOURCES CORP ARTNA,ARTNA
ARUBA NETWORKS INC ARUN,ARUN
AEROFLEX HLDG CORP ARX,ARX
AMERISTAR CASINOS INC ASCA,ASCA
ASCENT MEDIA CORP ASCMA,ASCMA
AMERICAN SCIENCE & ENGR ASEI,ASEI
ON ASSIGNMENT INC ASGN,ASGN
AMERICAN SAFETY INS HLD ASI,ASI
ASCENA RETAIL GROUP INC ASNA,ASNA
ASTEC INDUSTRIES INC ASTE,ASTE
AMTECH SYSTEMS INC ASYS,ASYS
ATLANTIC PWR CORP AT,AT
ALPHATEC HOLDINGS ATEC,ATEC
ATHENAHEALTH INC ATHN,ATHN
AMES NATL CORP ATLO,ATLO
ATMI INC ATMI,ATMI
ATLANTIC TELE-NETWORK ATNI,ATNI
ATP OIL & GAS CORP ATPG,ATPG
ATRICURE INC ATRC,ATRC
ATRION CORP ATRI,ATRI
ASTRONICS CORP ATRO,ATRO
AIR TRANSPORT SERVICES ATSG,ATSG
ACTUANT CORP ATU,ATU
CROSS A T CO ATX,ATX
GOLDEN MINERALS CO AUMN,AUMN
AUXILIUM PHARMACEUTICAL AUXL,AUXL
AVISTA CORP AVA,AVA
AEROVIRONMENT INC AVAV,AVAV
AMERICAN VANGUARD CORP AVD,AVD
AVEO PHARMACEUTICALS IN AVEO,AVEO
AVID TECHNOLOGY INC AVID,AVID
AVI BIOPHARMA INC AVII,AVII
AVANIR PHARMACEUTICALS AVNR,AVNR
AVIAT NETWORKS INC AVNW,AVNW
AVATAR HOLDINGS INC AVTR,AVTR
AMERICAN STATES WATER C AWR,AWR
ABRAXAS PETE CORP AXAS,AXAS
ANIXTER INTERNATIONAL AXE,AXE
AMERICAN AXLE & MFG AXL,AXL
AXT INC AXTI,AXTI
ACUITY BRANDS INC AYI,AYI
AIRCASTLE LTD AYR,AYR
ASPEN TECHNOLOGY INC AZPN,AZPN
AZZ INC AZZ,AZZ
BARNES GROUP INC B,B
NATUS MEDICAL INC BABY,BABY
EINSTEIN NOAH REST GROU BAGL,BAGL
BALTIC TRADING LIMITED BALT,BALT
BANCFIRST CORP BANF,BANF
BANNER CORP BANRD,BANRD
BANCORP RHODE ISLAND IN BARI,BARI
BASIC ENERGY SERVICES BAS,BAS
BLACKBOARD INC BBBB,BBBB
BILL BARRETT CORP BBG,BBG
BIGBAND NETWORKS INC BBND,BBND
BRIDGE CAPITAL HOLDINGS BBNK,BBNK
BLACK BOX CORP BBOX,BBOX
BRAVO BRIO RESTAURANT G BBRG,BBRG
BARRETT BUSINESS SERVIC BBSI,BBSI
BUILD A BEAR WORKSHOP BBW,BBW
BRUNSWICK CORP BC,BC
BRINKS CO BCO,BCO
BALCHEM CORP BCPC,BCPC
BIOCRYST PHARMACEUTICAL BCRX,BCRX
BLUE COAT SYSTEMS INC BCSI,BCSI
BELDEN INC BDC,BDC
BLACK DIAMOND INC BDE,BDE
BRIDGE BANCORP INC BDGE,BDGE
CARDIONET INC BEAT,BEAT
BEBE STORES INC BEBE,BEBE
BEACON ROOFING SUPPLY BECN,BECN
STRATEGIC HOTEL & RESOR BEE,BEE
BEL FUSE INC BELFB,BELFB
BANKFINANCIAL CORP BFIN,BFIN
SAUL CENTERS INC BFS,BFS
BGC PARTNERS INC BGCP,BGCP
BIG 5 SPORTING GOODS BGFV,BGFV
BRIGGS & STRATTON CO BGG,BGG
BG MEDICINE INC BGMD,BGMD
B & G FOODS INC BGS,BGS
