Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Intra-Day-Exit-PorL,Intra-Day-Exit-Date,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
CP,LONG,2011-10-19,53.61,1984,111963.29,111963.29,111962.51,5601.05,1202.01615886,2011-10-19,2011-10-25,55.61,119332.02,5601.05,115931.29,115931.29,3968.00,[]
NFLX,LONG,2012-01-05,81.17,1356,115931.29,115931.29,113395.57,5864.77,935.64,2012-01-05,2012-01-06,79.00,113395.57,5864.77,112988.77,112988.77,-2942.52,[]
V,LONG,2012-02-03,104.35,1028,112988.77,112988.77,113229.86,5716.70,1034.6496364,2012-02-03,2012-02-07,104.01,113561.34,5716.70,112638.98,112638.98,-349.79,[]
AGN,LONG,2012-03-22,64.66,1654,112638.98,112638.98,115020.74,5691.34,3308.0,2012-03-22,2012-03-28,65.69,115913.90,5691.34,114342.60,114342.60,1703.62,[]
UNH,LONG,2012-03-30,56.02,1939,114342.60,114342.60,115119.77,5719.82,1686.66664019,2012-03-30,2012-04-04,56.21,115973.58,5719.82,114711.01,114711.01,368.41,[]
AMZN,LONG,2012-06-19,223.96,486,114711.01,114711.01,114745.03,5866.45,602.64,2012-06-19,2012-06-20,222.63,114745.03,5866.45,114064.63,114064.63,-646.38,[]
CF,LONG,2012-06-20,174.94,31,114745.03,5866.45,114015.20,108641.49,9.8606478105,2012-06-20,2012-06-21,172.86,114015.20,108641.49,114000.15,114000.15,-64.48,[]
GOOGL,LONG,2012-07-20,304.38,363,114000.15,114000.15,114374.04,3510.21,726.0,2012-07-20,2012-07-23,300.24,114374.04,3510.21,112497.33,112497.33,-1502.82,[]
AMZN,LONG,2012-08-27,247.07,432,112497.33,112497.33,111136.53,5763.09,185.76,2012-08-27,2012-08-28,243.29,111136.53,5763.09,110864.37,110864.37,-1632.96,[]
MA,LONG,2012-09-07,42.86,2457,110864.37,110864.37,111669.51,5566.72,948.649356277,2012-09-07,2012-09-14,44.86,116305.72,5566.72,115754.99,110559.37,4923.37,['CF']
CF,LONG,2012-09-14,217.85,24,116305.72,5566.72,116010.27,338.35,48.0,2012-09-14,2012-09-17,214.70,115754.99,110559.37,115712.26,115712.26,-75.49,[]
CF,LONG,2012-11-30,207.75,529,115712.26,115712.26,115611.61,5812.51,171.245309085,2012-11-30,2012-12-03,206.33,115611.61,5812.51,114961.08,114961.08,-751.18,[]
CP,LONG,2012-12-06,96.40,1133,114961.08,114961.08,116891.49,5737.13,2266.0,2012-12-06,2012-12-11,98.40,117889.99,5737.13,117224.33,117224.33,2263.25,[]
NFLX,LONG,2012-12-13,92.14,1208,117224.33,117224.33,117731.69,5919.21,1424.232,2012-12-13,2012-12-17,92.37,118625.61,5919.21,117502.17,117502.17,277.84,[]
WHR,LONG,2013-01-03,103.50,1078,117502.17,117502.17,116971.66,5929.17,549.694723633,2013-01-03,2013-01-04,102.53,116971.66,5929.17,116456.51,116456.51,-1045.66,[]
AMZN,LONG,2013-03-05,274.00,202,116456.51,116456.51,117425.84,5570.20,404.0,2013-03-05,2013-03-06,273.38,117425.84,5570.20,116495.42,60792.96,-125.24,['GOOGL']
GOOGL,LONG,2013-03-05,414.46,134,116456.51,116456.51,117104.66,60918.20,268.0,2013-03-05,2013-03-06,416.46,117425.84,5570.20,116598.60,116598.60,267.33,[]
VIAB,LONG,2013-04-09,64.04,1729,116598.60,116598.60,114508.47,5873.44,415.542877854,2013-04-09,2013-04-10,62.01,114508.47,5873.44,113095.88,113095.88,-3502.72,[]
FDX,LONG,2013-05-08,98.91,1086,113095.88,113095.88,115412.67,5679.62,2172.0,2013-05-08,2013-05-09,100.67,115412.67,5679.62,115003.66,115003.66,1907.78,[]
CF,LONG,2013-05-10,190.86,572,115003.66,115003.66,114181.19,5831.18,144.488901524,2013-05-10,2013-05-13,188.15,114181.19,5831.18,113453.18,113453.18,-1550.48,[]
VRX,LONG,2013-05-20,78.57,1371,113453.18,113453.18,109079.69,5733.71,164.52,2013-05-20,2013-05-21,75.08,109079.69,5733.71,108668.39,108668.39,-4784.79,[]
AMZN,LONG,2013-06-10,278.69,370,108668.39,108668.39,109548.99,5553.09,740.0,2013-06-10,2013-06-11,276.00,109548.99,5553.09,107673.09,107673.09,-995.30,[]
FDX,LONG,2013-07-10,104.17,50,112855.92,5492.13,111213.40,283.63,75.6040543052,2013-07-10,2013-07-12,101.31,111434.78,283.63,117000.64,5349.37,-142.77,['NFLX']
